segmento,ruta,rutas_fuente,es_principal,criterio_seleccion,pax_2019,pax_2020,pax_2021,pax_2022,pax_2023,pax_2024,pax_2025,pax_2019_1s,pax_2026_1s,var_2025,var_2026_1s,valoracion
cabotaje,Región Buenos Aires - Bariloche,Aeroparque - Bariloche | Bariloche - El Palomar | Bariloche - Ezeiza,True,≥200.000 pasajeros en 2019 y 2025,1549038,320952,945718,1576885,2047521,1880690,2088721,619081,821673,34.8398812682452,32.72463538696875,Recuperación amplia
cabotaje,Región Buenos Aires - Iguazú,Aeroparque - Iguazú | El Palomar - Iguazú | Ezeiza - Iguazú,True,≥200.000 pasajeros en 2019 y 2025,1320716,230311,379497,1001870,1380620,1339953,1673684,626521,728915,26.725503439043674,16.34326702536706,Recuperación amplia
cabotaje,Región Buenos Aires - Córdoba,Aeroparque - Córdoba | Córdoba - El Palomar | Córdoba - Ezeiza,True,≥200.000 pasajeros en 2019 y 2025,1723839,313974,478789,1016311,1437456,1332599,1599949,878074,746454,-7.186866058837282,-14.989625020214692,Recuperación incompleta
cabotaje,Región Buenos Aires - Mendoza,Aeroparque - Mendoza | El Palomar - Mendoza | Ezeiza - Mendoza,True,≥200.000 pasajeros en 2019 y 2025,1422087,249408,526258,1097163,1495870,1361876,1571448,699273,678226,10.502943912714201,-3.0098402197711094,Recuperación clara
cabotaje,Región Buenos Aires - Salta,Aeroparque - Salta | El Palomar - Salta | Ezeiza - Salta,True,≥200.000 pasajeros en 2019 y 2025,1062921,196426,423215,870027,1024717,930796,1024666,497968,494188,-3.599044519771455,-0.7590849211194239,Recuperación incompleta
cabotaje,Región Buenos Aires - Neuquén,Aeroparque - Neuquén | El Palomar - Neuquén,True,≥200.000 pasajeros en 2019 y 2025,913244,143654,227716,599861,744041,712341,896318,432638,414702,-1.8533929596033505,-4.145729223970152,Igualó el nivel de 2019
cabotaje,Región Buenos Aires - Ushuaia,Aeroparque - Ushuaia | Ezeiza - Ushuaia,True,≥200.000 pasajeros en 2019 y 2025,655578,217448,426003,725984,917210,876672,890352,281754,443916,35.81175695340599,57.554462403373165,Recuperación amplia
cabotaje,Región Buenos Aires - Tucumán,Aeroparque - Tucumán | El Palomar - Tucumán | Ezeiza - Tucumán,True,≥200.000 pasajeros en 2019 y 2025,793440,143011,297073,634410,771126,675694,795239,373843,395149,0.22673422060899284,5.699183882003944,Igualó el nivel de 2019
cabotaje,Región Buenos Aires - El Calafate,Aeroparque - El Calafate | El Calafate - Ezeiza,True,≥200.000 pasajeros en 2019 y 2025,447178,146099,276608,526074,636857,631531,637756,224731,338261,42.61792843118399,50.518175062630434,Recuperación amplia
cabotaje,Región Buenos Aires - Comod. Rivadavia,Aeroparque - Comod. Rivadavia,True,≥200.000 pasajeros en 2019 y 2025,465523,88908,119043,319989,405364,368039,416556,236721,193797,-10.518706916736665,-18.132738540306946,Recuperación incompleta
cabotaje,Región Buenos Aires - Chapelco,Aeroparque - Chapelco,True,≥200.000 pasajeros en 2025,143734,29917,77443,151714,218808,284098,325089,59126,136968,126.1740437196488,131.65443290599734,Recuperación amplia
cabotaje,Región Buenos Aires - Jujuy,Aeroparque - Jujuy | El Palomar - Jujuy,True,≥200.000 pasajeros en 2019 y 2025,329579,49994,130688,365506,382125,324697,310658,162855,122199,-5.740960437406506,-24.964539007092203,Recuperación incompleta
cabotaje,Región Buenos Aires - Posadas,Aeroparque - Posadas | El Palomar - Posadas,True,≥200.000 pasajeros en 2019 y 2025,290742,29995,119733,203230,346614,266286,298588,146426,116282,2.6986125155636254,-20.586507860625847,Igualó el nivel de 2019
cabotaje,Región Buenos Aires - Trelew,Aeroparque - Trelew | Ezeiza - Trelew,True,≥200.000 pasajeros en 2019 y 2025,276264,61860,163730,266008,239744,247628,277474,113695,135132,0.437986853154948,18.854830907251863,Igualó el nivel de 2019
cabotaje,Región Buenos Aires - Mar del Plata,Aeroparque - Mar del Plata | Ezeiza - Mar del Plata,True,≥200.000 pasajeros en 2019 y 2025,300141,74422,72716,206753,230408,233184,246427,174783,128327,-17.896255426616158,-26.57924397681697,Recuperación incompleta
cabotaje,Región Buenos Aires - Corrientes,Aeroparque - Corrientes | Corrientes - El Palomar,True,≥200.000 pasajeros en 2025,188779,14585,89597,209796,280742,174262,212579,94372,82382,12.60733450224867,-12.70503963039885,Recuperación clara
cabotaje,Región Buenos Aires - Bahía Blanca,Aeroparque - Bahía Blanca | Bahía Blanca - El Palomar,True,≥200.000 pasajeros en 2019 y 2025,271986,42883,39936,179148,226060,212168,210529,146588,103391,-22.595648305427485,-29.46830572761754,Muy por debajo de 2019
cabotaje,Región Buenos Aires - Resistencia,Aeroparque - Resistencia,True,≥200.000 pasajeros en 2019 y 2025,241295,34602,50206,180683,146685,157105,207317,110466,120356,-14.081518473238152,8.952981007730877,Recuperación incompleta
cabotaje,Región Buenos Aires - Santiago del Estero,Aeroparque - Santiago del Estero | El Palomar - Santiago del Estero,False,,143458,13091,53778,160898,218874,196092,195652,74363,71415,36.382774052335876,-3.964337103129245,Recuperación amplia
cabotaje,El Calafate - Ushuaia,El Calafate - Ushuaia,False,,141538,50171,51118,157194,165548,180982,182841,73775,91788,29.181562548573538,24.41613012538122,Recuperación amplia
cabotaje,Región Buenos Aires - San Juan,Aeroparque - San Juan,False,,148211,28714,51037,142566,181878,168124,177766,56933,82028,19.94116496076539,44.078126921117814,Recuperación clara
cabotaje,Región Buenos Aires - Puerto Madryn,Aeroparque - Puerto Madryn,False,,78523,10417,20800,110289,175573,128479,158845,41928,48070,102.2910484826102,14.648921961457727,Recuperación amplia
cabotaje,Córdoba - Neuquén,Córdoba - Neuquén,False,,124497,23293,25341,84234,120534,137578,144741,51697,56464,16.26063278633221,9.221037971255575,Recuperación clara
cabotaje,Región Buenos Aires - Río Grande,Aeroparque - Río Grande | Ezeiza - Río Grande,False,,143670,32813,47235,117238,152173,130296,139398,72717,23716,-2.973480893714764,-67.38589325742261,Igualó el nivel de 2019
cabotaje,Bariloche - Córdoba,Bariloche - Córdoba,False,,128785,26810,75414,172681,187940,171469,138821,54349,58191,7.792833016267431,7.069127306850165,Recuperación leve
cabotaje,Región Buenos Aires - Rosario,Aeroparque - Rosario | Ezeiza - Rosario,True,≥200.000 pasajeros en 2019,206375,35293,48138,142192,163226,140276,123923,104799,82253,-39.95251362810418,-21.513564060725766,Muy por debajo de 2019
cabotaje,Córdoba - Salta,Córdoba - Salta,False,,143705,33178,23042,86286,157837,134223,114744,55588,46792,-20.153091402526012,-15.823559041519752,Muy por debajo de 2019
cabotaje,Región Buenos Aires - Río Gallegos,Aeroparque - Río Gallegos,True,≥200.000 pasajeros en 2019,248109,58993,70126,173814,200664,151894,105156,127098,53874,-57.617015102233296,-57.612236227163294,Muy por debajo de 2019
cabotaje,Córdoba - Mendoza,Córdoba - Mendoza,False,,137945,27439,30917,108705,136318,118507,98370,77185,38987,-28.688970241763023,-49.48889032843169,Muy por debajo de 2019
cabotaje,Mendoza - Salta,Mendoza - Salta,False,,41507,10406,9657,39217,89659,51377,91713,15772,37935,120.95791071385551,140.52117676895764,Recuperación amplia
cabotaje,Región Buenos Aires - Santa Fe,Aeroparque - Santa Fe,False,,94976,9815,13656,60654,84639,71619,90804,56089,37009,-4.392688679245282,-34.01736525878515,Recuperación incompleta
cabotaje,Región Buenos Aires - Esquel,Aeroparque - Esquel,False,,53073,12108,28363,67760,78421,90024,88828,25313,32158,67.3694722363537,27.041441156717895,Recuperación amplia
cabotaje,Región Buenos Aires - Formosa,Aeroparque - Formosa,False,,104725,18222,11588,83607,104894,93992,86574,50927,32380,-17.332060157555507,-36.41879553085789,Recuperación incompleta
cabotaje,Bariloche - Mendoza,Bariloche - Mendoza,False,,25245,7571,22990,57145,70801,61988,77041,10124,23717,205.17330164388989,134.26511260371393,Recuperación amplia
cabotaje,Región Buenos Aires - Catamarca,Aeroparque - Catamarca,False,,57033,9640,26316,68644,71944,67243,72265,29746,31868,26.70734487051356,7.1337322665232294,Recuperación amplia
cabotaje,Región Buenos Aires - La Rioja,Aeroparque - La Rioja,False,,61345,8873,8655,55269,75759,68252,66696,29165,28648,8.72279729399299,-1.7726727241556661,Recuperación leve
cabotaje,Región Buenos Aires - San Luis,Aeroparque - San Luis,False,,74951,12330,17968,68832,72391,58667,56900,39567,26088,-24.08373470667503,-34.06626734399879,Muy por debajo de 2019
cabotaje,Córdoba - Iguazú,Córdoba - Iguazú,False,,100978,27748,13968,46327,62989,74343,52434,53450,35541,-48.07383786567371,-33.50608044901777,Muy por debajo de 2019
cabotaje,Mendoza - Neuquén,Mendoza - Neuquén,False,,59435,10450,14667,40304,38676,44704,50958,27205,20205,-14.262639858669136,-25.730564234515718,Recuperación incompleta
cabotaje,Región Buenos Aires - San Rafael,Aeroparque - San Rafael,False,,53694,10833,15120,52734,44705,49540,49410,25254,20507,-7.978545088836741,-18.797022253900376,Recuperación incompleta
cabotaje,Comod. Rivadavia - Neuquén,Comod. Rivadavia - Neuquén,False,,47440,9360,13829,34807,31671,41022,47923,22800,20562,1.0181281618887095,-9.81578947368421,Igualó el nivel de 2019
cabotaje,Bariloche - El Calafate,Bariloche - El Calafate,False,,48643,18338,4690,14736,26660,47160,46911,24316,24315,-3.5606356515839876,-0.004112518506338425,Recuperación incompleta
cabotaje,Región Buenos Aires - Santa Rosa,Aeroparque - Santa Rosa,False,,48380,7322,8920,25446,51628,41732,41712,22554,18215,-13.782554774700284,-19.2382725902279,Recuperación incompleta
cabotaje,Región Buenos Aires - Paraná,Aeroparque - Paraná,False,,58562,7657,8972,31331,51736,37925,41330,27462,20305,-29.425224548341934,-26.06146675406016,Muy por debajo de 2019
cabotaje,Córdoba - Tucumán,Córdoba - Tucumán,False,,73385,13044,7475,33700,42833,46418,34571,37300,16120,-52.89091776248552,-56.78284182305631,Muy por debajo de 2019
cabotaje,Región Buenos Aires - Viedma,Aeroparque - Viedma,False,,39226,7139,6953,29218,31533,33256,34048,18911,16251,-13.200428287360422,-14.065887578657922,Recuperación incompleta
cabotaje,Córdoba - Jujuy,Córdoba - Jujuy,False,,53234,7564,10554,31857,44425,42038,32695,27586,17958,-38.58248487808543,-34.90176176321322,Muy por debajo de 2019
cabotaje,Comod. Rivadavia - Córdoba,Comod. Rivadavia - Córdoba,False,,67190,12248,224,32623,40952,49296,30041,34208,12770,-55.28947760083346,-62.669550982226376,Muy por debajo de 2019
