codigo_iata,codigo_oaci,nombre_oficial,pais,anio,pasajeros_totales_anuales,pasajeros_nacionales,pasajeros_internacionales,operaciones_aeronaves_anuales,carga_toneladas_anuales,correo_toneladas_anuales,fuente_dato,fecha_publicacion_fuente,observaciones
AEP,SABE,Aeroparque Jorge Newbery,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
AFA,SAMR,Suboficial Ay Santiago Germano Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
BHI,SAZB,Comandante Espora Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
BRC,SAZS,Teniente Luis Candelaria International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CNQ,SARC,Corrientes Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
COR,SACO,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CPC,SAZY,Aviador C. Campos Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CRD,SAVC,General Enrique Mosconi International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CTC,SANC,Coronel Felipe Varela International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
EQS,SAVE,Esquel Brigadier Antonio Parodi International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
EZE,SAEZ,Ezeiza International Airport - Ministro Pistarini,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
FMA,SARF,Formosa National Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
FTE,SAWC,El Calafate - Commander Armando Tola International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
GGS,SAWR,Gobernador Gregores Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
IGR,SARI,Cataratas Del Iguazú International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
IRJ,SANL,Capitan V A Almonacid Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
JUJ,SASJ,Gobernador Horacio Guzman International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
LHS,SAVH,Las Heras Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
LUQ,SAOU,Brigadier Mayor D Cesar Raul Ojeda Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
MDQ,SAZM,Ástor Piazzola International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
MDZ,SAME,Governor Francisco Gabrielli International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
NEC,SAZO,Necochea Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
NQN,SAZN,Presidente Perón International Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
OES,SAVN,Antoine de Saint Exupéry Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PMQ,SAWP,Perito Moreno Jalil Hamer Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PMY,SAVY,El Tehuelche Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PRA,SAAP,General Urquiza Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PSS,SARP,Libertador Gral D Jose De San Martin Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PUD,SAWD,Puerto Deseado Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
REL,SAVT,Almirante Marco Andres Zar Airport,Argentina,,,,,,,,ANAC Argentina - Estadísticas de la Dirección Nacional de Transporte Aéreo: https://consultas-publicas.anac.gob.ar/estadisticas-dnta/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
