pais,codigo_iata,codigo_oaci,nombre_oficial,anio,pax_nacionales_arribados,pax_nacionales_partidos,pax_internacionales_arribados,pax_internacionales_partidos,pax_nacionales_total,pax_internacionales_total,pax_arribados_total,pax_partidos_total,pax_totales,mov_nacionales_aterrizajes,mov_nacionales_despegues,mov_internacionales_aterrizajes,mov_internacionales_despegues,mov_nacionales_total,mov_internacionales_total,mov_aterrizajes_total,mov_despegues_total,mov_totales,meses_pasajeros_disponibles,meses_movimientos_disponibles,cobertura_anual,fuente_pasajeros,fuente_movimientos
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2001,,,,,4464062.0,581824.0,,,5045886.0,,,,,91626.0,11948.0,,,103574.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2002,,,,,3975322.0,448849.0,,,4424171.0,,,,,70512.0,13187.0,,,83699.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2003,,,,,4112519.0,456972.0,,,4569491.0,,,,,57144.0,11740.0,,,68884.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2004,,,,,4676160.0,551041.0,,,5227201.0,,,,,59819.0,13799.0,,,73618.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2005,,,,,4812425.0,568610.0,,,5381035.0,,,,,55270.0,10511.0,,,65781.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2006,,,,,4741355.0,525860.0,,,5267215.0,,,,,53682.0,9073.0,,,62755.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2007,,,,,5172206.0,501737.0,,,5673943.0,,,,,55697.0,9283.0,,,64980.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2008,,,,,5185071.0,484226.0,,,5669297.0,,,,,56960.0,10689.0,,,67649.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2009,,,,,5915911.0,516346.0,,,6432257.0,,,,,65207.0,11091.0,,,76298.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2010,,,,,6083762.0,1406015.0,,,7489777.0,,,,,69176.0,21440.0,,,90616.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2011,,,,,5846872.0,2359642.0,,,8206514.0,,,,,68784.0,30543.0,,,99327.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2012,,,,,6659609.0,2122076.0,,,8781685.0,,,,,76963.0,26113.0,,,103076.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2013,,,,,7379318.0,2088394.0,,,9467712.0,,,,,83632.0,24908.0,,,108540.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2014,,,,,8002930.0,2163384.0,,,10166314.0,,,,,87358.0,25067.0,,,112425.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2015,4405466.0,4529034.0,1011813.0,1014001.0,8934500.0,2025814.0,5417279.0,5543035.0,10960314.0,46412.0,46452.0,11133.0,11121.0,92864.0,22254.0,57545.0,57573.0,115118.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2016,4538493.0,4671983.0,1196325.0,1206273.0,9210476.0,2402598.0,5734818.0,5878256.0,11613074.0,45584.0,45764.0,11970.0,11802.0,91348.0,23772.0,57554.0,57566.0,115120.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2017,5229428.0,5341049.0,1602636.0,1597886.0,10570477.0,3200522.0,6832064.0,6938935.0,13770999.0,48870.0,49152.0,14586.0,14478.0,98022.0,29064.0,63456.0,63630.0,127086.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2018,5474103.0,5551300.0,1174206.0,1168979.0,11025403.0,2343185.0,6648309.0,6720279.0,13368588.0,51569.0,51548.0,11324.0,11377.0,103117.0,22701.0,62893.0,62925.0,125818.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2019,5758336.0,5818832.0,369825.0,365994.0,11577168.0,735819.0,6128161.0,6184826.0,12312987.0,51053.0,50925.0,4409.0,4456.0,101978.0,8865.0,55462.0,55381.0,110843.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2020,1150462.0,1120483.0,40420.0,35967.0,2270945.0,76387.0,1190882.0,1156450.0,2347332.0,10363.0,10282.0,737.0,724.0,20645.0,1461.0,11100.0,11006.0,22106.0,7,7.0,7 meses pasajeros / 7 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2021,2153620.0,2154549.0,108925.0,109056.0,4308169.0,217981.0,2262545.0,2263605.0,4526150.0,19003.0,18831.0,1537.0,1547.0,37834.0,3084.0,20540.0,20378.0,40918.0,10,10.0,10 meses pasajeros / 10 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2022,5162502.0,5196386.0,1218172.0,1205073.0,10358888.0,2423245.0,6380674.0,6401459.0,12782133.0,40518.0,40523.0,10776.0,10674.0,81041.0,21450.0,51294.0,51197.0,102491.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2023,6099169.0,6119019.0,1690079.0,1662677.0,12218188.0,3352756.0,7789248.0,7781696.0,15570944.0,48409.0,48338.0,13758.0,13790.0,96747.0,27548.0,62167.0,62128.0,124295.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2024,5542456.0,5598926.0,1884375.0,1865642.0,11141382.0,3750017.0,7426831.0,7464568.0,14891399.0,45018.0,45027.0,15167.0,15107.0,90045.0,30274.0,60185.0,60134.0,120319.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2025,6230039.0,6279305.0,2617782.0,2611276.0,12509344.0,5229058.0,8847821.0,8890581.0,17738402.0,49415.0,49344.0,20233.0,20253.0,98759.0,40486.0,69648.0,69597.0,139245.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2026,2805414.0,2786277.0,1430497.0,1389620.0,5591691.0,2820117.0,4235911.0,4175897.0,8411808.0,21946.0,21899.0,10410.0,10492.0,43845.0,20902.0,32356.0,32391.0,64747.0,6,6.0,6 meses pasajeros / 6 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2001,,,,,10165.0,0.0,,,10165.0,,,,,563.0,0.0,,,563.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2002,,,,,4487.0,0.0,,,4487.0,,,,,242.0,0.0,,,242.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2003,,,,,7763.0,0.0,,,7763.0,,,,,334.0,0.0,,,334.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2004,,,,,17460.0,4.0,,,17464.0,,,,,628.0,1.0,,,629.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2005,,,,,19998.0,0.0,,,19998.0,,,,,681.0,0.0,,,681.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2006,,,,,21351.0,0.0,,,21351.0,,,,,636.0,0.0,,,636.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2007,,,,,15252.0,0.0,,,15252.0,,,,,461.0,0.0,,,461.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2008,,,,,11951.0,0.0,,,11951.0,,,,,383.0,0.0,,,383.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2009,,,,,17312.0,0.0,,,17312.0,,,,,578.0,0.0,,,578.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
