pais,codigo_iata,codigo_oaci,nombre_oficial,anio,pax_nacionales_arribados,pax_nacionales_partidos,pax_internacionales_arribados,pax_internacionales_partidos,pax_nacionales_total,pax_internacionales_total,pax_arribados_total,pax_partidos_total,pax_totales,mov_nacionales_aterrizajes,mov_nacionales_despegues,mov_internacionales_aterrizajes,mov_internacionales_despegues,mov_nacionales_total,mov_internacionales_total,mov_aterrizajes_total,mov_despegues_total,mov_totales,meses_pasajeros_disponibles,meses_movimientos_disponibles,cobertura_anual,fuente_pasajeros,fuente_movimientos
Colombia,ADZ,SKSP,Gustavo Rojas Pinilla International Airport,2020,301625,323581,12887,15217,625206,28104,314512,338798,653310,4633,4651,140,148,9284,288,4773,4799,9572,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,APO,SKLC,Antonio Roldán Betancur Airport,2020,44691,45195,0,0,89886,0,44691,45195,89886,7322,7291,3,2,14613,5,7325,7293,14618,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,AUC,SKUC,Santiago Perez Airport,2020,21991,20848,2,3,42839,5,21993,20851,42844,2369,2325,0,0,4694,0,2369,2325,4694,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,AXM,SKAR,El Eden Airport,2020,60178,61645,12480,13181,121823,25661,72658,74826,147484,1644,1616,74,73,3260,147,1718,1689,3407,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BAQ,SKBQ,Ernesto Cortissoz International Airport,2020,400599,416148,57347,46861,816747,104208,457946,463009,920955,11681,11688,1139,1194,23369,2333,12820,12882,25702,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BGA,SKBG,Palonegro Airport,2020,275015,258074,13625,13369,533089,26994,288640,271443,560083,8026,8005,133,126,16031,259,8159,8131,16290,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BOG,SKBO,El Dorado International Airport,2020,2945908,2821461,1073948,1105975,5767369,2179923,4019856,3927436,7947292,53869,54214,21362,20861,108083,42223,75231,75075,150306,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BSC,SKBS,José Celestino Mutis Airport,2020,15824,14999,0,0,30823,0,15824,14999,30823,3021,3028,0,0,6049,0,3021,3028,6049,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BUN,SKBU,Gerardo Tobar López Airport,2020,2511,2292,0,0,4803,0,2511,2292,4803,471,411,0,0,882,0,471,411,882,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,CLO,SKCL,Alfonso Bonilla Aragon International Airport,2020,656916,732981,154442,158981,1389897,313423,811358,891962,1703320,16601,16863,1619,1475,33464,3094,18220,18338,36558,12,12,anual_completo,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
