pais,codigo_iata,codigo_oaci,nombre_oficial,anio,mes,anio_mes,pax_nacionales_arribados,pax_nacionales_partidos,pax_internacionales_arribados,pax_internacionales_partidos,pax_nacionales_total,pax_internacionales_total,pax_arribados_total,pax_partidos_total,pax_totales,mov_nacionales_aterrizajes,mov_nacionales_despegues,mov_internacionales_aterrizajes,mov_internacionales_despegues,mov_nacionales_total,mov_internacionales_total,mov_aterrizajes_total,mov_despegues_total,mov_totales,cobertura_pasajeros,cobertura_movimientos,fuente_pasajeros,fuente_movimientos
Colombia,ADZ,SKSP,Gustavo Rojas Pinilla International Airport,2020,1,2020-01,87407,94701,3772,4447,182108,8219,91179,99148,190327,1068,1071,43,43,2139,86,1111,1114,2225,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,APO,SKLC,Antonio Roldán Betancur Airport,2020,1,2020-01,8729,9723,0,0,18452,0,8729,9723,18452,782,777,0,1,1559,1,782,778,1560,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,AUC,SKUC,Santiago Perez Airport,2020,1,2020-01,4832,5896,0,0,10728,0,4832,5896,10728,357,346,0,0,703,0,357,346,703,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,AXM,SKAR,El Eden Airport,2020,1,2020-01,18974,16456,3880,4448,35430,8328,22854,20904,43758,427,427,15,15,854,30,442,442,884,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BAQ,SKBQ,Ernesto Cortissoz International Airport,2020,1,2020-01,102644,98377,13671,11024,201021,24695,116315,109401,225716,1731,1735,239,232,3466,471,1970,1967,3937,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BGA,SKBG,Palonegro Airport,2020,1,2020-01,71243,76331,4247,4641,147574,8888,75490,80972,156462,1481,1478,31,24,2959,55,1512,1502,3014,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BOG,SKBO,El Dorado International Airport,2020,1,2020-01,815316,756758,352357,347594,1572074,699951,1167673,1104352,2272025,10720,10771,4331,4293,21491,8624,15051,15064,30115,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BSC,SKBS,José Celestino Mutis Airport,2020,1,2020-01,2689,3682,0,0,6371,0,2689,3682,6371,395,401,0,0,796,0,395,401,796,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,BUN,SKBU,Gerardo Tobar López Airport,2020,1,2020-01,533,507,0,0,1040,0,533,507,1040,68,61,0,0,129,0,68,61,129,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,CLO,SKCL,Alfonso Bonilla Aragon International Airport,2020,1,2020-01,173423,174947,40767,49911,348370,90678,214190,224858,439048,2805,2821,385,367,5626,752,3190,3188,6378,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
Colombia,CTG,SKCG,Rafael Nuñez International Airport,2020,1,2020-01,203489,210173,42407,50463,413662,92870,245896,260636,506532,2138,2130,435,472,4268,907,2573,2602,5175,disponible,disponible,PasajerosArribadosPartidosxAeropuerto2020-2026,MovimientosxAeropuerto2020-2026
