IATA;aeropuerto;provincia;tipologia_principal;tipologia_secundaria;sector_1;sector_2;sector_3;rasgo_territorial;turismo_cat;atractivo_1;atractivo_2;atractivo_3;actividad_turistica_1;actividad_turistica_2;actividad_turistica_3;tipologia_demanda_aerea;demanda_secundaria;observacion_demanda;tipo_estacionalidad;observacion_estacionalidad
AEP;Aeroparque Jorge Newbery;CABA;metropolitano / servicios avanzados;nodo log°stico / transporte;servicios;comercio;log°stica;nodo aÇreo metropolitano;turismo nacional;Ciudad de Buenos Aires;Costanera Norte;Turismo cultural porte§o;turismo urbano cultural;turismo gastron¢mico;turismo de eventos;mixta;corporativa;fuerte peso de negocios, gobierno y turismo urbano;todo_el_ano;demanda sostenida con picos repartidos
BHI;Bah°a Blanca;Buenos Aires;nodo log°stico / transporte;industria;industria;log°stica;agricultura;polo petroqu°mico y portuario;turismo regional;Puerto de Bah°a Blanca;Reserva Natural Bah°a Blanca;Sierra de la Ventana;turismo costero;turismo de naturaleza;turismo rural;mixta;corporativa;asociada a industria, log°stica y servicios regionales;todo_el_ano;demanda relativamente estable con variaciones moderadas
BRC;Bariloche;R°o Negro;turismo;servicios;turismo;servicios;comercio;turismo internacional de naturaleza;turismo estacional fuerte;Parque Nacional Nahuel Huapi;Cerro Catedral;Circuito Chico;deportes de invierno;turismo de naturaleza;turismo lacustre;turistica;mixta;predominan flujos tur°sticos nacionales e internacionales;invierno;pico principal por nieve y deportes invernales
CTC;Catamarca;Catamarca;administraci¢n p£blica / capitalidad;mineria;administraci¢n p£blica;miner°a;comercio;capital provincial con miner°a regional;turismo regional;Cuesta del Portezuelo;Valle Central de Catamarca;Ruta del Adobe;turismo cultural;turismo hist¢rico;turismo religioso;administrativa;territorial;capital provincial con demanda institucional y regional;todo_el_ano;comportamiento relativamente estable
CPC;Chapelco;NeuquÇn;turismo;integraci¢n territorial;turismo;servicios;comercio;turismo de monta§a;turismo estacional fuerte;Cerro Chapelco;Lago L†car;Parque Nacional Lan°n;deportes de invierno;turismo de monta§a;trekking;turistica;territorial;demanda centrada en turismo de monta§a y nieve;invierno;fuerte asociaci¢n con temporada de nieve
CRD;Comodoro Rivadavia;Chubut;extractiva;servicios;petr¢leo y gas;servicios;comercio;cuenca petrolera;sin peso tur°stico relevante;Museo del Petr¢leo;Golfo San Jorge;Ruta costera patag¢nica;turismo costero;turismo hist¢rico petrolero;pesca deportiva;extractiva;corporativa;vinculada al sector petrolero y servicios asociados;todo_el_ano;demanda vinculada a actividad econ¢mica continua
COC;Concordia;Entre R°os;agroindustrial;turismo;agricultura;comercio;turismo;citrus y turismo termal;turismo regional;Termas de Concordia;Lago de Salto Grande;Parque San Carlos;turismo termal;turismo recreativo;turismo rural;mixta;turistica;demanda regional con componente termal y recreativo;todo_el_ano;cierta variaci¢n recreativa pero sin fuerte concentraci¢n
COR;C¢rdoba;C¢rdoba;metropolitano / servicios avanzados;nodo log°stico / transporte;servicios;industria;comercio;nodo regional multisectorial;turismo nacional;Centro hist¢rico de C¢rdoba;Sierras de C¢rdoba;Estancias jesu°ticas;turismo urbano cultural;turismo estudiantil;turismo de eventos;mixta;corporativa;importante peso corporativo, acadÇmico y tur°stico;todo_el_ano;demanda diversificada durante todo el a§o
CNQ;Corrientes;Corrientes;administraci¢n p£blica / capitalidad;agroindustrial;administraci¢n p£blica;agricultura;comercio;capital provincial;turismo regional;Costanera del Paran†;Parque Nacional Iber†;Puente General Belgrano;ecoturismo;turismo fluvial;turismo cultural;administrativa;territorial;capital provincial con movilidad p£blica y regional;todo_el_ano;perfil administrativo relativamente estable
FTE;El Calafate;Santa Cruz;turismo;integraci¢n territorial;turismo;comercio;servicios;glaciar Perito Moreno;turismo estacional fuerte;Glaciar Perito Moreno;Parque Nacional Los Glaciares;Lago Argentino;turismo glaciar;turismo de naturaleza;trekking;turistica;territorial;fuerte especializaci¢n tur°stica;verano;pico principal en temporada tur°stica austral
EPA;El Palomar;Buenos Aires;metropolitano / servicios avanzados;nodo log°stico / transporte;servicios;log°stica;comercio;†rea metropolitana;turismo regional;µrea metropolitana oeste;Patrimonio aeron†utico;Turismo urbano bonaerense;turismo urbano;turismo cultural;turismo de eventos;mixta;territorial;asociada al †rea metropolitana y tr†fico domÇstico;todo_el_ano;demanda metropolitana no fuertemente estacional
RYO;Rio Mayo;Chubut;integraci¢n territorial;extractiva;ganader°a;administraci¢n p£blica;comercio;ganader°a patag¢nica;sin peso tur°stico relevante;Meseta patag¢nica;Estancias ganaderas;Paisaje cordillerano;turismo rural patag¢nico;turismo de naturaleza;pesca deportiva;territorial;extractiva;conectividad regional en †rea de baja densidad;todo_el_ano;conectividad territorial relativamente uniforme
EQS;Esquel;Chubut;turismo;integraci¢n territorial;turismo;servicios;comercio;parque nacional Los Alerces;turismo internacional;Parque Nacional Los Alerces;La Trochita;Cordillera chubutense;turismo de naturaleza;trekking;pesca deportiva;turistica;territorial;turismo de naturaleza y conectividad cordillerana;verano;turismo de naturaleza con mayor peso estival
EZE;Ezeiza;Buenos Aires;nodo log°stico / transporte;metropolitano / servicios avanzados;log°stica;servicios;comercio;hub internacional;turismo nacional;Ciudad de Buenos Aires;Estancia tur°stica pampeana;Ruta del vino bonaerense;turismo urbano cultural;turismo gastron¢mico;turismo internacional;mixta;corporativa;puerta internacional con negocios y turismo;todo_el_ano;tr†fico internacional y diversificado
