IATA;PaxDom2025;PaxInter2025;PaxTransito2025;CargaDom2025;CargaInter2025;MovAterrizajes2025;MovDespegues2025
AEP;13915710;5583216;0;220;1658,88072;76673;76683
AFA;56329;0;0;0;0;4536;4517
AOL;92;0;0;0;0;3;2
BHI;237065;0;3507;239,48;0;1744;1744
BRC;2607398;138607;0;4;0;9953;9951
CNQ;449874;0;0;25;0;3406;3508
COC;381;0;0;0;0;86;83
COR;2535311;995271;0;26;1498,438;111942;109482
CPC;361480;14956;0;9;0;2460;2460
CRD;623512;33;0;343;0;3833;3823
CTC;112603;8;0;0;0;1661;1659
EPA;4026;854;0;0;0;1586;1588
EQS;107296;43;0;0;0;1112;1112
EZE;3771692;9040479;0;2160;205860,3409;39587;39428
FDO;18296;24288;0;0;0;31024;31020
FMA;98343;67;0;77;0;753;753
FTE;851023;28038;22858;9;0;3565;3565
GNR;238;0;0;0;0;138;132
GPO;2054;0;0;0;0;1523;1461
IGR;1944300;2819;0;154;0;7041;7037
IRJ;95398;7;0;34,21;0;1007;1002
JNI;95;0;0;0;0;112;115
JUJ;532001;3732;0;108,68;0;2586;2586
LGS;222;26;0;0;0;349;346
LPG;720;0;0;0;0;754;825
LUQ;65248;24;0;42,91;0;933;934
MDQ;331404;387;0;94,04;6;3669;3660
MDZ;2157686;737426;0;411,5;149;12245;12248
NEC;57;0;0;0;0;37;39
NQN;1364425;845;21340;1253;0;7160;7169
PMQ;7039;0;0;5;0;329;330
PMY;203123;0;0;28,5;0;925;924
PRA;47154;86;25;1;0;1767;1748
PSS;362250;293;0;158;0;2569;2568
RCQ;417;0;0;0;0;1846;1843
RCU;13476;0;0;103;0;331;326
REL;281108;4624;4928;287;0;1257;1257
RES;250312;446;0;295,89;4,19;1861;1852
RGA;154052;8;0;1084;0;1672;1654
RGL;132640;667;0;136;0;1172;1169
RHD;21547;28;0;82;0;285;280
RLO;16425;4;4;0;0;1267;1261
ROS;195649;210063;5135;95;220;3024;3034
RSA;47711;24;0;53;0;1481;1470
RYO;21;0;0;0;0;20;15
SDE;245280;633;0;176;0;2351;2335
SFN;96298;1616;0;40;5;2368;2370
SLA;1564233;89925;0;277;0;9957;9945
SST;21;0;0;0;0;43;39
TDL;1602;0;0;0;0;221;229
TTG;697;0;0;0;0;146;153
TUC;909007;27359;0;400;12;4497;4485
UAQ;220083;45;0;100;0;1379;1378
USH;1083492;37498;4370;794;0;4253;4253
VDM;38752;2;0;0;0;603;589
VLG;530;0;0;0;0;109;132
VME;222;0;0;0;0;385;383
