IATA;OACI;Ciudad;Pais
ZZV;KZZV;Zanesville;US
ZZU;FWUU;Mzuzu;MW
ZZO;UHSO;Tymovskoye;RU
ZZE;;Zangilan;AZ
ZYL;VGSY;Sylhet;BD
ZYI;ZUZY;Zunyi;CN
ZXT;UBTT;Zabrat;AZ
ZWL;CZWL;Wollaston Lake;CA
ZWA;FMND;;MG
ZVK;VLSK;;LA
ZVG;;Springvale;AU
ZVA;FMMN;Miandrivazo;MG
ZUM;CZUM;Churchill Falls;CA
ZUL;OEZL;Zilfi;SA
ZUH;ZGSD;Zhuhai (Jinwan);CN
ZUD;SCAC;Ancud;CL
ZUC;CZUC;Ignace;CA
ZTU;UBBY;Zaqatala;AZ
ZTS;;Tahsis;CA
ZTR;UKKV;Zhytomyr;UA
ZTM;CZTM;Shamattawa;CA
ZTH;LGZA;Zakynthos;GR
ZTB;;TÇ¦te-Ç˙-la-Baleine;CA
ZTA;NTGY;Tureia;PF
ZSW;CZSW;Prince Rupert;CA
ZST;CZST;Stewart;CA
ZSS;DISS;Sassandra;CI
ZSJ;CZSJ;Sandy Lake;CA
ZSE;FMEP;Saint-Pierre;RE
ZSA;MYSM;San Salvador;BS
ZRZ;;Zaraza;VE
ZRM;WAJI;Sarmi;ID
ZRJ;CZRJ;Round Lake;CA
ZRI;WABO;Serui;ID
ZRH;LSZH;Zurich;CH
ZQZ;ZBZJ;Zhangjiakou;CN
ZQW;EDRZ;ZweibrÇ¬cken;DE
ZQS;;Queen Charlotte;CA
ZQN;NZQN;Queenstown;NZ
ZPO;CZPO;Pinehouse Lake;CA
ZPH;KZPH;Zephyrhills;US
ZPC;SCPC;Pucon;CL
ZPB;CZPB;Sachigo Lake;CA
ZOS;SCJO;Osorno;CL
ZOF;;Ocean Falls;CA
ZOE;;Ludwigshafen am Rhein;DE
ZNZ;HTZA;Zanzibar;TZ
ZNU;;Namu;CA
ZNE;YNWN;Newman;AU
ZND;DRZR;Zinder;NE
ZNC;;Nyac;US
ZNA;;Nanaimo;CA
ZMT;CZMT;Masset;CA
ZMM;MMZM;Zamora;MX
ZMH;CZML;108 Mile;CA
ZMD;;Sena Madureira;BR
ZLX;HSZA;Zalingei;SD
ZLT;;La TabatiÇůre;CA
ZLR;;Linares;CL
ZLO;MMZO;Manzanillo;MX
ZKP;UESU;Zyryanka;RU
ZKL;;Zigong (Gongjing);CN
ZKG;;CÇďte-Nord-du-Golfe-du-Saint-Laurent;CA
ZKE;CZKE;Kashechewan;CA
ZKB;FLKY;Kasaba Bay;ZM
ZJN;CZJN;Swan River;CA
ZJG;CZJG;Jenpeg;CA
ZIZ;;Zamzama Gas Field;PK
ZIX;UEVV;Zhigansk;RU
ZIS;HLZN;Zintan;LY
ZIH;MMZH;Ixtapa;MX
ZIG;GOGG;Ziguinchor;SN
ZIC;SCTO;Victoria;CL
ZIA;UUBW;Moscow;RU
ZHY;ZLZW;Zhongwei (Shapotou);CN
ZHP;CZHP;High Prairie;CA
ZHM;VGSH;Shamshernagar;BD
ZHA;ZGZJ;Zhanjiang;CN
ZGU;NVSQ;Gaua Island;VU
