IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
1 - 2,5;Contra Incendios;GOYEU - Aeropuerto de Tucuman - Instalacion Contra Incendios - Anillo;Instalacion Contra Incendios - Anillo;4593959;TUC;Grupo A;TUCUMAN;4,59 M;1,39 M;0,00 M;3,21 M;0,00 M;0,00 M;1388883;0;0;0;0;0;0;3205076;0;0
14 - 2,5;CCTV;GOYEU - San Fernando - Sistema de CCTV y Deteccion de Intrusos en Cerco Perimetral - Modificacion de Monto -;Sistema de CCTV y Deteccion de Intrusos en Cerco Perimetral - Modificacion de Monto -;148379400;FDO;Grupo A;BUENOS AIRES;148,38 M;0,00 M;0,00 M;148,38 M;0,00 M;0,00 M;0;0;0;0;0;0;0;148379400;0;0
17-2,5 (EX17 - 11,25);CCTV;GOYEU - Ezeiza - Ampliacion sistema de CCTV mangas y plataforma operativa - Modificacion de Monto-Cambio Fuente Financiamiento;Ampliacion sistema de CCTV mangas y plataforma operativa;621.418.000;EZE;Grupo A;BUENOS AIRES;621,42 M;0,00 M;0,00 M;621,42 M;0,00 M;0,00 M;0;0;0;0;0;0;0;621418000;0;0
119 - 2,5;Cerco perimetral;GOYEU - Aeropuerto Santa Rosa - Cerco, Murete y Alambrado Perimetral ;Cerco, Murete y Alambrado Perimetral ;6500000;RSA;Grupo A;LA PAMPA;6,50 M;6,13 M;0,00 M;0,00 M;0,00 M;0,37 M;6130296;0;0;0;0;0;0;0;0;369704
120 - 2,5;Cerco perimetral;GOYEU  - Aeropuerto Viedma - Cerco, Murete y Alambrado Perimetral;Cerco, Murete y Alambrado Perimetral;6800000;VDM;Grupo A;RIO NEGRO;6,80 M;5,74 M;0,00 M;0,00 M;0,00 M;1,06 M;5736796;0;0;0;0;0;0;0;0;1063204
121 - 2,5;Cerco perimetral;GOYEU - Aeropuerto Malargüe - Construccion de Murete;Construccion de Murete;6500000;LGS;Grupo A;MENDOZA;6,50 M;4,84 M;1,66 M;0,00 M;0,00 M;0,00 M;4844993;0;0;0;0;1655007;1655007;0;0;0
468 - 2,5 (EX 468 - RAP);Equipamiento electrico;GOYEU - Aeroparque Jorge Newbery - Equipamiento Convertidores 400 HZ -Modificacion de Monto - Cambio fuente de financiamiento;Equipamiento Convertidores 400 HZ;1833027368;AEP;Grupo A;CABA;1833,03 M;0,00 M;0,00 M;0,00 M;1833,03 M;0,00 M;0;0;0;0;0;0;0;0;1833027368;0
450 - 2,5 (EX 450 - RAP);Equipamiento electrico;GOYEU - Aeroparque Jorge Newbery - Instalacion Convertidores 400 HZ -Modificacion de Monto - Cambio Fuente Financiamiento -;Instalacion Convertidores 400 HZ ;1251927873;AEP;Grupo A;CABA;1251,93 M;0,00 M;0,00 M;0,00 M;1251,93 M;0,00 M;0;0;0;0;0;0;0;0;1251927873;0
12 - 2,5;Contra Incendios;GOYEU - Aeropuerto Bariloche - Instalacion contra incendio - Modificacion de Monto - ;Instalacion contra incendio;9638320000;BRC;Grupo A;RIO NEGRO;9638,32 M;0,00 M;0,00 M;9638,32 M;0,00 M;0,00 M;0;0;0;0;0;0;0;9638320000;0;0
502 - 2,5;Generadores electricos;GPA - Aeroparque Jorge Newbery - Generadores Eléctricos - Nuevo Proyecto;Generadores Eléctricos;7500000000;AEP;Grupo A;CABA;7500,00 M;0,00 M;0,00 M;7500,00 M;0,00 M;0,00 M;0;0;0;0;0;0;0;7500000000;0;0
504 - Resc. Acc.Pref.;Balizamiento;GPA - Aeropuerto Ezeiza - Anillo de Balizamiento - Etapa III - Nuevo proyecto;Anillo de Balizamiento;8800000000;EZE;Grupo A;BUENOS AIRES;8800,00 M;0,00 M;2500,00 M;4500,00 M;1800,00 M;0,00 M;0;0;0;0;0;2500000000;2500000000;4500000000;1800000000;0
506 - 2,5;Terminal de pasajeros;GPA - Aeropuerto Mendoza - Ampliacion Preembarque - Nuevo Proyecto;Ampliacion Preembarque;16200000000;MDZ;Grupo A;MENDOZA;16200,00 M;0,00 M;0,00 M;6100,00 M;5200,00 M;4900,00 M;0;0;0;0;0;0;0;6100000000;5200000000;4900000000
492 - 2,5;Terminal de pasajeros;GPA - Aeropuerto Tucum‡n - Nueva Terminal de Pasajeros - Modificacion de Monto;Nueva Terminal de Pasajeros;76000000000;TUC;Grupo A;TUCUMAN;76000,00 M;0,00 M;15000,00 M;31700,00 M;29300,00 M;0,00 M;0;0;0;10000000000;2500000000;2500000000;15000000000;31700000000;29300000000;0
501 - 2,5;Rodaje y balizamiento;GPA - Aeropuerto Jujuy - Rehabilitacion Rodaje Bravo y Charlie + Balizamiento - Nuevo Proyecto-;Rehabilitacion Rodaje Bravo y Charlie + Balizamiento;12000000000;JUJ;Grupo A;JUJUY;12000,00 M;0,00 M;0,00 M;0,00 M;12000,00 M;0,00 M;0;0;0;0;0;0;0;0;12000000000;0
36 - 2,5;Varios;GOIA- DMA - Varios - Modificacion de Monto ;;1000000000;SNA;SNA;SNA;1000,00 M;0,00 M;450,00 M;350,00 M;200,00 M;0,00 M;0;0;0;450000000;0;0;450000000;350000000;200000000;0
