Año;PaxCab;VuelosCab;PaxInter;VuelosInter
2001;5138118;171169;6433834;77295
2002;4497679;137490;5084530;71688
2003;4656848;119942;5903379;74858
2004;5278089;123669;6662111;83613
2005;5433177;115763;7501728;82079
2006;5491520;125552;8024345;83486
2007;5675170;129904;8992940;91390
2008;5824664;132906;9258290;94291
2009;6495468;137458;8758790;90536
2010;6915664;136643;10433076;99059
2011;6461551;131442;11410806;107055
2012;7532708;137710;11567685;106704
2013;8351810;145461;11390518;103382
2014;9146035;151371;11498892;104011
2015;10319186;157406;11750522;99342
2016;10920799;154902;12850514;101441
2017;12645338;172929;14688170;110494
2018;14244456;181939;15036490;116554
2019;16072981;182159;14376406;106330
2020;3671139;58917;3443977;34626
2021;6181078;99990;1997518;32148
2022;13579432;155137;8158797;73553
2023;17342625;185667;11742816;96447
2024;15910032;174573;13374629;104478
2025;17412888;182626;15921646;121000
