AñoMes,RutaCompleta,Tipo de Movimiento,Aerolinea Nombre,Clasificación Vuelo,Clase de vuelo Comercial Av. Gral,Pax,Asientos_Pax,Vuelos,PromedioMovimientosSemanal por mes (frecuencia semanal) todas las rutas,Clasificación SNA Movimiento
2026-05,MOR - MOR,Despegue,"",Cabotaje,Av. General,"2,0",384,"958,0",216,Fuera del SNA
2026-02,MOR - MOR,Despegue,"",Cabotaje,Av. General,"9,0",336,"864,0",216,Fuera del SNA
2026-05,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"3,0",384,"956,5",216,Fuera del SNA
2026-02,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"10,0",336,"861,0",215,Fuera del SNA
2026-03,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"0,0",288,"884,0",200,Fuera del SNA
2026-03,MOR - MOR,Despegue,"",Cabotaje,Av. General,"0,0",288,"878,0",198,Fuera del SNA
2026-01,MOR - MOR,Despegue,"",Cabotaje,Av. General,"10,5",768,"853,5",193,Fuera del SNA
2026-01,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"10,0",768,"842,5",190,Fuera del SNA
2026-04,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"0,0",528,"797,5",186,Fuera del SNA
2026-04,MOR - MOR,Despegue,"",Cabotaje,Av. General,"0,0",528,"794,0",185,Fuera del SNA
2026-06,MOR - MOR,Aterrizaje,"",Cabotaje,Av. General,"0,0",1092,"578,5",135,Fuera del SNA
2026-06,MOR - MOR,Despegue,"",Cabotaje,Av. General,"0,0",1140,"578,5",135,Fuera del SNA
2026-05,FDO - FDO,Aterrizaje,"",Cabotaje,Av. General,"54,0",381,"326,5",74,SNA - Aterrizaje
2026-05,FDO - FDO,Despegue,"",Cabotaje,Av. General,"58,5",288,"325,0",73,SNA - Despegue
2026-06,FDO - FDO,Despegue,"",Cabotaje,Av. General,"41,5",192,"272,5",64,SNA - Despegue
2026-06,FDO - FDO,Aterrizaje,"",Cabotaje,Av. General,"26,5",325,"266,5",62,SNA - Aterrizaje
2026-03,AEP - COR,Aterrizaje,Aerolíneas Argentinas,Cabotaje,Comercial,"32964,0",35307,"252,0",57,SNA - Aterrizaje
2026-03,AEP - COR,Despegue,Aerolíneas Argentinas,Cabotaje,Comercial,"32686,5",35270,"252,0",57,SNA - Despegue
2026-02,FDO - FDO,Aterrizaje,"",Cabotaje,Av. General,"30,0",380,"222,0",56,SNA - Aterrizaje
2026-02,FDO - FDO,Despegue,"",Cabotaje,Av. General,"28,0",239,"216,5",54,SNA - Despegue
2026-01,AEP - BRC,Aterrizaje,Aerolíneas Argentinas,Cabotaje,Comercial,"37809,0",38967,"234,5",53,SNA - Aterrizaje
2026-01,AEP - BRC,Despegue,Aerolíneas Argentinas,Cabotaje,Comercial,"37472,0",38648,"232,5",53,SNA - Despegue
2026-03,FDO - FDO,Aterrizaje,"",Cabotaje,Av. General,"54,5",287,"232,0",52,SNA - Aterrizaje
2026-01,AEP - COR,Aterrizaje,Aerolíneas Argentinas,Cabotaje,Comercial,"29775,0",32634,"232,0",52,SNA - Aterrizaje
2026-03,FDO - FDO,Despegue,"",Cabotaje,Av. General,"46,0",239,"231,5",52,SNA - Despegue
2026-01,AEP - COR,Despegue,Aerolíneas Argentinas,Cabotaje,Comercial,"29676,5",32433,"231,5",52,SNA - Despegue
2026-02,AEP - COR,Aterrizaje,Aerolíneas Argentinas,Cabotaje,Comercial,"27965,5",29739,"208,5",52,SNA - Aterrizaje
2026-02,AEP - COR,Despegue,Aerolíneas Argentinas,Cabotaje,Comercial,"27718,5",29552,"207,0",52,SNA - Despegue
2026-05,AEP - COR,Aterrizaje,Aerolíneas Argentinas,Cabotaje,Comercial,"31868,0",34661,"228,5",52,SNA - Aterrizaje
