Aerolinea Nombre;Nombre Corto
Aerolineas Argentinas;Aerolineas Argentinas
Austral Lineas Aereas;Austral
Flybondi;Flybondi
LATAM Argentina;Latam Arg.
JetSMART Airlines;Jetsmart
LATAM;LATAM
Gol Transportes Aereos;Gol
TAM Linhas Aereas;Tam
American Airlines;American
Copa Airlines;Copa
Iberia Airlines;Iberia
LATAM Peru;Latam Perú
Sky Airline;Sky Airline
Andes Lineas Aereas;Andes
KLM;Klm
Avianca;Avianca
Air Europa;Air Europa
Lufthansa;Lufthansa
United Airlines;United
Air France;Air France
Aeromexico;Aeromexico
Delta Air Lines;Delta Air Lines
Boliviana de Aviacion;Boliviana
British Airways;British
Norwegian Air Argentina;Norwegian Arg.
Avianca Peru;Avianca Peru
Turkish Airlines;Turkish
Emirates Airline;Emirates
LATAM Paraguay;Latam Paraguay
Air Canada;Air Canada
Alitalia;Alitalia
Azul Linhas Aereas Brasileiras;Azul
ITA Airways;ITA Airways
Qatar Airways;Qatar Airways
Ethiopian Airlines;Ethiopian
LATAM Ecuador;Latam Ecuador
Amaszonas;Amaszonas
Air New Zealand;Air New Zealand
Norwegian Air Shuttle;Norwegian Air Shuttle
Arajet;Arajet
LADE - Lineas Aereas Del Estado;Lade
Avianca Costa Rica;Avianca Costa Rica
American Jet;American Jet
Swiss International Air Lines;Swiss International
Conviasa;Conviasa
SOL Lineas Aereas;Sol
