Provincia,Gentilicio
Buenos Aires,bonaerense
Ciudad de Buenos Aires,porteños
"Catamarca,""catamarqueño, ña"""
"Chaco,""chaqueño, ña"""
Chubut,chubutense
"Cordoba,""cordobes, sa"""
"Corrientes,""correntino, na"""
"Entre RÇðos,""entrerriano, na"""
"Formosa,""formoseño, ña"""
"Jujuy,""jujeño, ña"""
"La Pampa,""pampeano, na"""
"La Rioja,""riojano, na"""
"Mendoza,""mendocino, na"""
"Misiones,""misionero, ra"""
"Neuquen,""neuquino, na"""
"Rio Negro,""rionegrino, na"""
"Salta,""salteño, ña"""
"San Juan,""sanjuanino, na"""
"San Luis,""sanluiseño, ña"""
"Santa Cruz,""santacruceño, ña"""
"Santa Fe,""santafesino, na"""
"Santiago del Estero,""santiagueño, ña"""
"Tierra del Fuego,""fueguino, na"""
"Tucuma­n,""tucumano, na"""
