CityPair_IATA	Aerolinea Nombre	Clasificacion	Comercial Av Gral	DistanciaKM
EZE - GMP	N/A	Internacional	Av. General	19470
EZE - PEK	Aerolíneas Argentinas	Internacional	Comercial	19311
DMK - EZE	Ethiopian Airlines	Internacional	Comercial	16907
EZE - SDK	N/A	Internacional	Comercial	16799
FDO - LKH		Internacional	Av. General	16502
EZE - HKT	N/A	Internacional	Av. General	16239
CNQ - HAZ		Internacional	Av. General	15656
COC - HAZ		Internacional	Av. General	15362
EZE - HAZ	Aerolíneas Argentinas	Internacional	Comercial	15013
DRW - EZE	Qantas Airways Limited	Internacional	Comercial	14686
EZE - MLE		Internacional	Comercial	14046
EZE - MLE	N/A	Internacional	Av. General	14046
EZE - MLE	N/A	Internacional	Comercial	14046
DXB - EZE	Emirates Airline	Internacional	Comercial	13691
DXB - EZE	N/A	Internacional	Comercial	13691
EZE - SVO	Aerolíneas Argentinas	Internacional	Comercial	13513
EZE - VKO	Aerolíneas Argentinas	Internacional	Comercial	13492
ANC - EZE	N/A	Internacional	Comercial	13435
BAH - EZE	N/A	Internacional	Comercial	13318
EZE - SFT	Aerolíneas Argentinas	Internacional	Comercial	13014
EZE - HEL	N/A	Internacional	Comercial	12996
EZE - RUH	N/A	Internacional	Av. General	12900
EZE - RUH	N/A	Internacional	Comercial	12900
EZE - RMA	Aerolíneas Argentinas	Internacional	Comercial	12625
EZE - RMA	Alitalia	Internacional	Comercial	12625
ARN - EZE	Hi Fly	Internacional	Comercial	12613
BZZ - CRD	Royal Air Force	Internacional	Av. General	12549
BQH - BRC	N/A	Internacional	Av. General	12382
EZE - WAW	Atlas Air	Internacional	Comercial	12363
EZE - WAW	N/A	Internacional	Av. General	12363
EZE - WAW	N/A	Internacional	Comercial	12363
BNE - EZE	Qantas Airways Limited	Internacional	Comercial	12353
EZE - LCA	Aerolíneas Argentinas	Internacional	Comercial	12312
EZE - LCA	N/A	Internacional	Av. General	12312
CPC - LTN	Qatar Executive	Internacional	Av. General	12305
EZE - IST	Hi Fly	Internacional	Comercial	12271
EZE - IST	N/A	Internacional	Av. General	12271
EZE - IST	Turkish Airlines	Internacional	Comercial	12271
EZE - MED	N/A	Internacional	Comercial	12261
EZE - TLV	N/A	Internacional	Comercial	12260
EZE - SDV	Austral Líneas Aéreas	Internacional	Comercial	12257
BRC - MLA	N/A	Internacional	Comercial	12225
EZE - USQ	N/A	Internacional	Av. General	12195
EZE - POZ	Korean Air	Internacional	Comercial	12137
FTE - MAD	N/A	Internacional	Comercial	12105
EZE - JED	N/A	Internacional	Av. General	12050
EZE - JED	N/A	Internacional	Comercial	12050
EZE - SOF	N/A	Internacional	Av. General	11980
EZE - SXF	N/A	Internacional	Comercial	11948
EZE - TXL	N/A	Internacional	Av. General	11947
EZE - TXL	N/A	Internacional	Comercial	11947
BLL - EZE	Cargolux	Internacional	Comercial	11939
EZE - HRG	Qatar Airways	Internacional	Comercial	11899
EZE - LBC	Aerolíneas Argentinas	Internacional	Comercial	11889
CAI - EZE	N/A	Internacional	Av. General	11868
CAI - EZE	N/A	Internacional	Comercial	11868
EZE - VIE	N/A	Internacional	Comercial	11857
EZE - VIE	Qatar Amiri Flight	Internacional	Av. General	11857
EZE - PRG	N/A	Internacional	Comercial	11844
EZE - HAM	Lufthansa	Internacional	Comercial	11839
EZE - HAM	N/A	Internacional	Comercial	11839
EZE - SKG	N/A	Internacional	Av. General	11821
EZE - LEJ	Emirates Airline	Internacional	Comercial	11815
EZE - SYD	LATAM	Internacional	Comercial	11780
EZE - SYD	N/A	Internacional	Av. General	11780
EZE - SYD	Qantas Airways Limited	Internacional	Comercial	11780
AEP - NAN	N/A	Internacional	Comercial	11744
CFU - COR	Qatar Executive	Internacional	Comercial	11723
FCO - MDZ	Alitalia	Internacional	Comercial	11722
EZE - NAN	N/A	Internacional	Av. General	11718
EZE - NAN	N/A	Internacional	Comercial	11718
COR - MUC	Air Europa	Internacional	Comercial	11638
EZE - FMO	Lufthansa	Internacional	Comercial	11615
EZE - MEL	Qantas Airways Limited	Internacional	Comercial	11613
EZE - MUC	Aerolíneas Argentinas	Internacional	Comercial	11584
EZE - MUC	Iberia Airlines	Internacional	Comercial	11584
EZE - MUC	Lufthansa	Internacional	Comercial	11584
EZE - MUC	N/A	Internacional	Av. General	11584
AEP - MUC	Gestair	Internacional	Av. General	11555
CDG - MDZ	Air France	Internacional	Comercial	11518
