iata;oaci;continent;latitude;longitude;municipality;country
JNI;SAAJ;SA;'-34.54567602430;'-60.93012358060;Junin;AR
RHD;SANR;SA;'-27.50902763420;'-64,93794009620;Rio Hondo;AR
NAT;SBSG;SA;'-5.76887;'-35.36657;Natal;BR
AAA;NTGA;OC;'-17.3526;'-145.509995;Anaa;PF
AAB;YARY;OC;'-26.69639;141.048.718;Tanbar;AU
AAC;HEAR;AS;31.078.565;33.836.791;El Arish;EG
AAE;DABB;AF;36.826.781;781.334;Annaba;DZ
AAF;KAAF;NA;29.727.501;'-85.027496;Apalachicola;US
AAH;EDKA;EU;50.823.055;6.186.389;Aachen;DE
AAI;;SA;'-13.025154;'-46.884107;Arraias;BR
AAJ;SMCA;SA;3.898.681;'-55.577907;Awaradam;SR
AAK;NGUK;OC;0.185278;173.636.993;Buariki;KI
AAL;EKYT;EU;57.094.763;984.993;Aalborg;DK
AAM;FAMD;AF;'-24.816866;31.544.085;Malamala;ZA
AAN;OMAL;AS;24.261.699.676.513.600;5.560.919.952.392.570;Al Ain;AE
AAO;SVAN;SA;9.430.225;'-64.470726;Anaco;VE
AAP;WALS;AS;'-0.374478;117.250.128;Samarinda;ID
AAQ;URKA;EU;45.002.102;37.347.301;Krasnyi Kurgan;RU
AAR;EKAH;EU;56.303.331;10.618.286;Aarhus;DK
AAS;;AS;'-3.882495;139.310.932;Apalapsili;ID
AAT;ZWAT;AS;47.749.886;88.085.808;Altay;CN
AAU;NSAU;OC;'-13.505132;'-172.627888;Asau;WS
AAV;RPMA;AS;6.367.903;124.752.431;Surallah;PH
AAX;SBAX;SA;'-19.5632;'-46.9604;Araxá;BR
AAY;OYGD;AS;16.193.341;52.174.186;Al Ghaydah;YE
AAZ;MGQZ;NA;148.656;'-91.501999;Quezaltenango;GT
ABA;UNAA;AS;53.740.002;91.385.002;Abakan;RU
ABC;LEAB;EU;38.948.502;'-1.86352;Albacete;ES
ABD;OIAA;AS;30.367.887;48.230.075;Abadan;IR
ABE;KABE;NA;40.651.773;'-75.442797;Allentown;US
ABF;NGAB;OC;179.861;173.041;Abaiang;KI
ABG;YABI;OC;'-17.608814;143.183.531;Abingdon Downs;AU
ABI;KABI;NA;324.113.006.592;'-99.68190002440001;Abilene;US
ABJ;DIAP;AF;526.139;'-3.92629;Abidjan;CI
ABK;HAKD;AF;6.732.577;44.241.339;Kebri Dahar;ET
ABL;PAFM;NA;67.105.529;'-157.855339;Ambler;US
ABM;YNPE;OC;'-10.946194;142.455.081;Bamaga;AU
ABN;SMBN;SA;551.272;'-54.050098;Albina;SR
ABQ;KABQ;NA;35.039.976;'-106.608925;Albuquerque;US
ABR;KABR;NA;45.449.100.494.384.700;'-98.42179870605469;Aberdeen;US
ABS;HEBL;AF;22.367.657;31.609.962;Abu Simbel;EG
ABT;OEBA;AS;20.298.506;41.636.153;Al-Baha;SA
ABU;WATA;AS;'-9.074841;124.903.285;Atambua;ID
ABV;DNAA;AF;900.679;726.317;Abuja;NG
ABX;YMAY;OC;'-36.066758;146.959.148;East Albury;AU
ABY;KABY;NA;31.532.946;'-84.196215;Albany;US
ABZ;EGPD;EU;572.019;'-2.19778;Aberdeen;GB
ACA;MMAA;NA;16.757.126;'-99.753113;Acapulco;MX
ACB;KACB;NA;44.988.602;'-85.198402;Bellaire;US
ACC;DGAA;AF;5.605.189.800.262.450;'-0.16678600013256073;Accra;GH
ACD;SKAD;SA;8.497.847;'-77.274106;Acandí;CO
ACE;GCRR;AF;28.945.499;'-13.6052;San Bartolomé;ES
ACH;LSZR;EU;47.485.001;956.077;St. Gallen;CH
ACI;EGJA;EU;49.706.104;'-2.21472;Saint Anne;GG
ACJ;VCCA;AS;8.301.542;8.042.848;Anuradhapura;LK
ACK;KACK;NA;4.125.310.135;'-70.06020355;Nantucket;US
ACM;;SA;'-2.143713;'-71.75935;Arica;CO
ACN;MMCC;NA;29.333.662;'-101.100555;Ciudad Acuña;MX
ACP;OITM;AS;37.347.999.572.753.900;46.127.899.169.921.800;Maragheh;IR
ACR;SKAC;SA;'-0.600854;'-72.398011;Araracuara;CO
ACS;UNKS;AS;56.269.185;9.057.511;Achinsk;RU
ACT;KACT;NA;31.611.299.514.770.500;'-97.23049926757812;Waco;US
ACU;;NA;9.188.481;'-77.994153;Mamitupu;PA
ACV;KACV;NA;40.978.101;'-124.109;Arcata/Eureka;US
ACY;KACY;NA;3.945.759.963.989.250;'-74.57720184326172;Atlantic City;US
ACZ;OIZB;AS;31.098.301;615.439;Zabol;IR
ADA;LTAF;AS;36.982.201;35.280.399;Seyhan;TR
ADB;LTBJ;AS;382.924;27.157;Gaziemir;TR
ADD;HAAB;AF;897.789;38.799.301;Addis Ababa;ET
ADE;OYAA;AS;128.295;45.028.801;Aden;YE
ADF;LTCP;AS;377.314;38.468.899;Adıyaman;TR
ADG;KADG;NA;41.866.205;'-84.077983;Adrian;US
ADH;UEEA;AS;5.860.279.846.191.400;12.540.899.658.203.100;Aldan;RU
ADI;FYAR;AF;'-22.461875;14.979.322;Arandis;NA
ADJ;OJAM;AS;319.727;359.916;Amman;JO
ADK;PADK;NA;51.883.564;'-176.642783;Adak;US
ADL;YPAD;OC;'-34.947512;138.533.393;Adelaide;AU
ADM;KADM;NA;3.430.301;'-97.0196342;Ardmore;US
ADO;YAMK;OC;'-30.438299;137.136.993;Andamooka;AU
ADP;VCCG;AS;7.336.745;81.623.869;Ampara;LK
ADQ;PADQ;NA;57.75;'-152.4940033;Kodiak;US
ADR;KPHH;NA;334.516.983.032;'-79.5261993408;Andrews;US
ADS;KADS;NA;329.686.012.268;'-96.8364028931;Dallas;US
ADT;KADH;NA;34.805.214;'-96.671988;Ada;US
ADU;OITL;AS;383.256.988.525;484.244.003.296;Ardabil;IR
ADW;KADW;NA;38.810.799;'-76.866997;Camp Springs;US
ADX;EGQL;EU;5.637.398;'-2.868862;Leuchars, Fife;GB
ADY;FAAL;AF;'-22.679001;290.555;Alldays;ZA
ADZ;SKSP;NA;125.836;'-81.7112;San Andrés;CO
AEA;NGTB;OC;0.490759;173.830.287;Abemama;KI
AEB;ZGBS;AS;237.206;106.959.999;Baise (Tianyang);CN
AEG;WIME;AS;14.001;99.430.496;Padang Sidempuan;ID
AEH;FTTC;AF;13.847;20.844.299;Abeche;TD
AEL;KAEL;NA;4.368.149.948;'-93.36720276;Albert Lea;US
AEO;GQNA;AF;16.711.299.896.240.200;'-9.637880325317383;Aioun El Atrouss;MR
AEP;SABE;SA;'-34.5592;'-58.4156;Buenos Aires;AR
AER;URSS;EU;43.449.902;399.566;Sochi;RU
AES;ENAL;EU;625.625;61.197;Ålesund;NO
AET;PFAL;NA;66.551.804;'-152.621994;Allakaket;US
AEU;OIBA;AS;258.757;55.033.001;Abu Musa;IR
AEX;KAEX;NA;313.274;'-92.549797;Alexandria;US
