IATA;A¤oMes;segmento;valor_pax;movimientos
TTG;2015-01;;39;18,5
TTG;2015-02;;45;17,5
TTG;2015-03;;66,5;21,5
TTG;2015-04;;70;31
TTG;2015-05;;58,5;20,5
TTG;2015-06;;80;26,5
TTG;2015-07;;154,5;25,5
TTG;2015-08;;51;22,5
TTG;2015-09;;37;14,5
TTG;2015-10;;46,5;17,5
TTG;2015-11;;18;12,5
TTG;2015-12;;30;10,5
TTG;2016-01;;53,5;18
TTG;2016-02;;7,5;6,5
TTG;2016-03;;67;20
TTG;2016-04;;67,5;19,5
TTG;2016-05;;66,5;19
TTG;2016-06;;53,5;17,5
TTG;2016-07;;43;13,5
TTG;2016-08;;21,5;8,5
TTG;2016-09;;56;22
TTG;2016-10;;47;23,5
TTG;2016-11;;39;12
TTG;2016-12;;42;14,5
TTG;2017-01;;38;10,5
TTG;2017-02;;21;6,5
TTG;2017-03;;54;17
TTG;2017-04;;75;23,5
TTG;2017-05;;25;15,5
TTG;2017-06;;89,5;26
TTG;2017-07;;79,5;22
TTG;2017-08;;62;18
TTG;2017-09;;44,5;14,5
TTG;2017-10;;111,5;33,5
TTG;2017-11;;67;22
TTG;2017-12;;50;16,5
TTG;2018-01;;70,5;17,5
TTG;2018-02;;66,5;20,5
TTG;2018-03;;73,5;18,5
TTG;2018-04;;28,5;13,5
TTG;2018-05;;93,5;17,5
TTG;2018-06;;119,5;22
TTG;2018-07;;56;17
TTG;2018-08;;48,5;13,5
TTG;2018-09;;47;16,5
TTG;2018-10;;54;17
TTG;2018-11;;65,5;19
TTG;2018-12;;44,5;15
TTG;2019-01;;65;17
TTG;2019-02;;49;13,5
TTG;2019-03;;21,5;8,5
TTG;2019-04;;27;8
TTG;2019-05;;60;19,5
TTG;2019-06;;54,5;18,5
TTG;2019-07;;63,5;22,5
TTG;2019-08;;32,5;11
TTG;2019-09;;47,5;19,5
TTG;2019-10;;43;18,5
TTG;2019-11;;45;14
TTG;2019-12;;43,5;13
TTG;2020-01;;63;20,5
TTG;2020-02;;64;19
TTG;2020-03;;58,5;19
TTG;2020-04;;21,5;8,5
TTG;2020-05;;19,5;8,5
TTG;2020-06;;17,5;6
TTG;2020-07;;6;3,5
TTG;2020-08;;17;8,5
TTG;2020-09;;42;12,5
TTG;2020-10;;21,5;8,5
TTG;2020-11;;32;7,5
TTG;2020-12;;40,5;15
TTG;2021-01;;18;5
TTG;2021-02;;26;9,5
TTG;2021-03;;22,5;7,5
TTG;2021-04;;26;8
TTG;2021-05;;28;12
TTG;2021-06;;29;9,5
TTG;2021-07;;63;20
TTG;2021-08;;58;21
TTG;2021-09;;69;20
TTG;2021-10;;73;22
TTG;2021-11;;58;15,5
TTG;2021-12;;48;16
TTG;2022-01;;54;19,5
TTG;2022-02;;45,5;16
TTG;2022-03;;59;19
TTG;2022-04;;78;22
TTG;2022-05;;139;35
TTG;2022-06;;65;27
TTG;2022-07;;36;11
TTG;2022-08;;51;22
TTG;2022-09;;31,5;14,5
TTG;2022-10;;67;24,5
TTG;2022-11;;60;24,5
TTG;2022-12;;70,5;22,5
TTG;2023-01;;31,5;14,5
TTG;2023-02;;46,5;17
TTG;2023-03;;50,5;21,5
TTG;2023-04;;29;14,5
TTG;2023-05;;45,5;17,5
TTG;2023-06;;24;12
TTG;2023-07;;26;11,5
TTG;2023-08;;46;17
TTG;2023-09;;28;10,5
TTG;2023-10;;13,5;9
TTG;2023-11;;24;14
TTG;2023-12;;19,5;8,5
TTG;2024-01;;62;9
TTG;2024-02;;59,5;17
TTG;2024-03;;62;9
TTG;2024-04;;83,5;14,5
TTG;2024-05;;98,5;14,5
TTG;2024-06;;101;20,5
TTG;2024-07;;41,5;12
TTG;2024-08;;40,5;18
TTG;2024-09;;19,5;10,5
TTG;2024-10;;19,5;11
TTG;2024-11;;35;10,5
TTG;2024-12;;15;9,5
TTG;2025-01;;14;7,5
TTG;2025-02;;23;9
TTG;2025-03;;18,5;6,5
TTG;2025-04;;74;13,5
TTG;2025-05;;16,5;8
TTG;2025-06;;27;13
TTG;2025-07;;24,5;13,5
TTG;2025-08;;33;13,5
TTG;2025-09;;49,5;15,5
TTG;2025-10;;43,5;18
TTG;2025-11;;20,5;16,5
TTG;2025-12;;21;15
RYO;2015-01;;112,5;8
RYO;2015-02;;95;6,5
RYO;2015-03;;107,5;6
RYO;2015-04;;5,5;4,5
RYO;2015-05;;1;4
RYO;2015-06;;6,5;2,5
RYO;2015-07;;8;1,5
RYO;2015-08;;4;2
RYO;2015-09;;38,5;10
RYO;2015-10;;7;3
RYO;2015-11;;4,5;4,5
RYO;2015-12;;3,5;4
RYO;2016-01;;0;0,5
RYO;2016-02;;5,5;5,5
RYO;2016-03;;0;2,5
RYO;2016-04;;3;4
RYO;2016-05;;2;1
RYO;2016-06;;0;2,5
RYO;2016-08;;0;1
RYO;2016-09;;1;2
RYO;2016-10;;0,5;1
RYO;2016-12;;16;1
RYO;2017-01;;1,5;1,5
RYO;2017-02;;1;2,5
RYO;2017-04;;4;3
RYO;2017-05;;4;1,5
RYO;2017-06;;0;1
RYO;2017-07;;0;1
RYO;2017-08;;0;1,5
RYO;2017-09;;0;0,5
RYO;2017-10;;2,5;3,5
RYO;2017-11;;2,5;1
RYO;2017-12;;2,5;1,5
RYO;2018-01;;7;3,5
RYO;2018-02;;3;2,5
RYO;2018-03;;0;0,5
RYO;2018-04;;9,5;3,5
RYO;2018-05;;1,5;1,5
RYO;2018-10;;0;2
RYO;2018-11;;1;1,5
RYO;2018-12;;2;2
RYO;2019-01;;3;2,5
RYO;2019-02;;0,5;1,5
RYO;2019-03;;2;0,5
RYO;2019-05;;3;1
RYO;2019-09;;6;2
RYO;2019-10;;3,5;1,5
RYO;2019-11;;0;2,5
RYO;2019-12;;63;3,5
RYO;2020-02;;0;0,5
RYO;2020-12;;20,5;1
RYO;2021-02;;3,5;1,5
RYO;2021-03;;3;1
RYO;2021-06;;6,5;1
RYO;2021-07;;2;0,5
RYO;2021-09;;0;0,5
RYO;2021-11;;0;1,5
RYO;2022-01;;0,5;0,5
RYO;2022-03;;5;2
RYO;2022-04;;2,5;2,5
RYO;2022-06;;0;0,5
RYO;2022-07;;0;1
RYO;2022-09;;0;0,5
RYO;2022-10;;2;1,5
RYO;2022-11;;0,5;0,5
RYO;2022-12;;3,5;1
RYO;2023-02;;0;1
RYO;2023-03;;0;1
