IATA,Aeropuerto,PaxTotal_2025,PaxTotal_2026,VarPaxTotal_pct,PaxComercial_2025,PaxComercial_2026,VarPaxComercial_pct,PaxAvGeneral_2025,PaxAvGeneral_2026,VarPaxAvGeneral_pct,PaxCabotaje_2025,PaxCabotaje_2026,VarPaxCabotaje_pct,PaxInternacional_2025,PaxInternacional_2026,VarPaxInternacional_pct,Registros_2025,Registros_2026
AEP,Aeroparque Jorge Newbery,8685268.0,8424610.0,-3.0,8680622.5,8419117.5,-3.0,4645.5,5492.5,18.2,6164514.0,5603078.0,-9.1,2520754.0,2821532.0,11.9,2717,3284
AFA,San Rafael,21750.5,22755.5,4.6,21668.5,22689.0,4.7,82.0,66.5,-18.9,21750.5,22575.5,3.8,0.0,180.0,,195,181
AOL,Paso de los Libres,2.0,0.5,-75.0,0.0,0.0,,2.0,0.5,-75.0,2.0,0.5,-75.0,0.0,0.0,,3,5
BHI,Bahía Blanca,117744.5,125567.5,6.6,115315.0,122934.0,6.6,2429.5,2633.5,8.4,117739.5,125491.5,6.6,5.0,76.0,1420.0,405,480
BRC,Bariloche,1120697.0,985955.5,-12.0,1118477.5,983702.0,-12.0,2219.5,2253.5,1.5,1087993.0,955564.5,-12.2,32704.0,30391.0,-7.1,700,730
CNQ,Corrientes,106784.0,87074.0,-18.5,106043.5,86229.5,-18.7,740.5,844.5,14.0,106509.0,86901.0,-18.4,275.0,173.0,-37.1,303,364
COC,Concordia,0.0,513.0,,0.0,440.5,,0.0,72.5,,0.0,510.0,,0.0,3.0,,0,145
COR,Córdoba,1540436.5,1730770.0,12.4,1536816.0,1726431.0,12.3,3620.5,4339.0,19.8,1110364.5,1072462.0,-3.4,430072.0,658308.0,53.1,1208,1462
CPC,San Martín de los Andes,159333.5,149509.5,-6.2,158998.0,149282.0,-6.1,335.5,227.5,-32.2,159201.5,149411.5,-6.1,132.0,98.0,-25.8,295,322
CRD,Comodoro Rivadavia,279196.5,255453.0,-8.5,277761.0,253729.0,-8.7,1435.5,1724.0,20.1,279151.5,255127.0,-8.6,45.0,326.0,624.4,497,511
CTC,Catamarca,40583.5,41117.5,1.3,39867.0,40084.5,0.5,716.5,1033.0,44.2,40582.5,41117.5,1.3,1.0,0.0,-100.0,195,218
EPA,El Palomar,1750.5,1379.0,-21.2,6.5,17.5,169.2,1744.0,1361.5,-21.9,1568.5,1345.0,-14.2,182.0,34.0,-81.3,401,365
EQS,Esquel,37957.5,38240.5,0.7,37643.5,37364.0,-0.7,314.0,876.5,179.1,37906.5,38163.5,0.7,51.0,77.0,51.0,240,331
EZE,Ezeiza,5693080.0,6264222.0,10.0,5691949.0,6262481.0,10.0,1131.0,1741.0,53.9,1420893.0,1595626.0,12.3,4272187.0,4668596.0,9.3,2790,3217
FDO,San Fernando,14174.0,13609.0,-4.0,5818.5,6067.5,4.3,8355.5,7541.5,-9.7,9124.0,9142.0,0.2,5050.0,4467.0,-11.5,1894,2578
FMA,Formosa,42200.5,37489.0,-11.2,42028.0,37336.0,-11.2,172.5,153.0,-11.3,42171.5,37452.0,-11.2,29.0,37.0,27.6,170,182
