AñoMes;CityPair_IATA;Aerolinea Nombre;Clasificacion;Comercial Av Gral;TotalPasajeros;Asientos_Pax;Vuelos;frecuencia semanal
2025-01;AEP - AEP;;Cabotaje;Av. General;0;0;1;0
2025-01;AEP - AFA;;Cabotaje;Av. General;0;;1;0
2025-01;AEP - BHI;;Cabotaje;Av. General;1;;3;1
2025-01;AEP - BRC;;Cabotaje;Av. General;1;0;0,5;0
2025-01;AEP - CNQ;;Cabotaje;Av. General;19,5;0;5,5;1
2025-01;AEP - COR;;Cabotaje;Av. General;0;0;2;0
2025-01;AEP - CPC;;Cabotaje;Av. General;3,5;0;1,5;0
2025-01;AEP - CTC;;Cabotaje;Av. General;2;0;0,5;0
2025-01;AEP - EPA;;Cabotaje;Av. General;0;209;5,5;1
2025-01;AEP - EQS;;Cabotaje;Av. General;0;0;1,5;0
2025-01;AEP - EZE;;Cabotaje;Av. General;0;0;2;0
2025-01;AEP - FDO;;Cabotaje;Av. General;3;104;10;2
2025-01;AEP - JUJ;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AEP - LUQ;;Cabotaje;Av. General;5;0;2;0
2025-01;AEP - MDQ;;Cabotaje;Av. General;94,5;176;6,5;1
2025-01;AEP - MDZ;;Cabotaje;Av. General;2;0;1;0
2025-01;AEP - MOR;;Cabotaje;Av. General;0;0;3;1
2025-01;AEP - NQN;;Cabotaje;Av. General;3;0;2;0
2025-01;AEP - PDI;;Cabotaje;Av. General;0;;0,5;0
2025-01;AEP - PDP;;Internacional;Av. General;12;0;5;1
2025-01;AEP - PRA;;Cabotaje;Av. General;5;0;6;1
2025-01;AEP - PSS;;Cabotaje;Av. General;2,5;0;1;0
2025-01;AEP - RAF;;Cabotaje;Av. General;3;0;0,5;0
2025-01;AEP - RES;;Cabotaje;Av. General;9;0;2,5;1
2025-01;AEP - RGL;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AEP - ROS;;Cabotaje;Av. General;15,5;0;8;2
2025-01;AEP - RSA;;Cabotaje;Av. General;5;;3;1
2025-01;AEP - SDE;;Cabotaje;Av. General;10,5;0;4;1
2025-01;AEP - SFN;;Cabotaje;Av. General;0,5;;0,5;0
2025-01;AEP - SLA;;Cabotaje;Av. General;2,5;0;0,5;0
2025-01;AEP - TDL;;Cabotaje;Av. General;6;0;3;1
2025-01;AEP - TUC;;Cabotaje;Av. General;16,5;0;4,5;1
2025-01;AEP - UAQ;;Cabotaje;Av. General;3;0;0,5;0
2025-01;AEP - USH;;Cabotaje;Av. General;13;22;0,5;0
2025-01;AEP - VLG;;Cabotaje;Av. General;4;0;1;0
2025-01;AFA - AFA;;Cabotaje;Av. General;0;0;389;88
2025-01;AFA - BRC;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - FDO;;Cabotaje;Av. General;3;0;2,5;1
2025-01;AFA - GPO;;Cabotaje;Av. General;1,5;0;5,5;1
2025-01;AFA - LCM;;Cabotaje;Av. General;0;0;0,5;0
2025-01;AFA - LGS;;Cabotaje;Av. General;0;0;28,5;6
2025-01;AFA - LUQ;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - MDZ;;Cabotaje;Av. General;1;0;16,5;4
2025-01;AFA - NQN;;Cabotaje;Av. General;0;;2,5;1
2025-01;AFA - RCU;;Cabotaje;Av. General;0;0;3;1
2025-01;AFA - RSA;;Cabotaje;Av. General;2;;6;1
2025-01;AFA - UAQ;;Cabotaje;Av. General;0;;0,5;0
2025-01;AFA - VME;;Cabotaje;Av. General;0;;13;3
2025-01;APZ - BRC;;Cabotaje;Av. General;0;;0,5;0
2025-01;APZ - COR;;Cabotaje;Av. General;2;;0,5;0
2025-01;APZ - LGS;;Cabotaje;Av. General;0;;0,5;0
2025-01;APZ - NQN;;Cabotaje;Av. General;2;;4;1
2025-01;APZ - SLA;;Cabotaje;Av. General;2;;0,5;0
2025-01;ASU - CNQ;;Internacional;Av. General;6;0;6;1
2025-01;ASU - COR;;Internacional;Av. General;10;0;4;1
2025-01;ASU - FDO;;Internacional;Av. General;11;0;5;1
2025-01;ASU - MDQ;;Internacional;Av. General;4;;1;0
2025-01;ASU - RES;;Internacional;Av. General;0;0;2;0
2025-01;ASU - ROS;;Internacional;Av. General;5;;1;0
2025-01;ASU - SLA;;Internacional;Av. General;8;0;2;0
2025-01;ASU - TUC;;Internacional;Av. General;0;0;1;0
2025-01;BHI - BHI;;Cabotaje;Av. General;0;;1,5;0
2025-01;BHI - EZE;;Cabotaje;Av. General;2,5;0;1,5;0
2025-01;BHI - FDO;;Cabotaje;Av. General;5;135;4,5;1
2025-01;BHI - LPG;;Cabotaje;Av. General;0;;0,5;0
2025-01;BHI - MDQ;;Cabotaje;Av. General;37,5;44;7;2
2025-01;BHI - MOR;;Cabotaje;Av. General;0;0;2;0
2025-01;BHI - NEC;;Cabotaje;Av. General;0;;1;0
2025-01;BHI - NQN;;Cabotaje;Av. General;0,5;0;2;0
2025-01;BHI - OYO;;Cabotaje;Av. General;0,5;;2,5;1
2025-01;BHI - PMY;;Cabotaje;Av. General;0;0;0,5;0
2025-01;BHI - REL;;Cabotaje;Av. General;0;0;5;1
2025-01;BHI - RGL;;Cabotaje;Av. General;27,5;0;0,5;0
2025-01;BHI - RSA;;Cabotaje;Av. General;41,5;;1;0
2025-01;BHI - TDL;;Cabotaje;Av. General;0;0;0,5;0
2025-01;BHI - VDM;;Cabotaje;Av. General;0;0;4,5;1
2025-01;BRC - BRC;;Cabotaje;Av. General;5;;41;9
2025-01;BRC - CPC;;Cabotaje;Av. General;5,5;95;14,5;3
2025-01;BRC - CRD;;Cabotaje;Av. General;0;;1;0
2025-01;BRC - EHL;;Cabotaje;Av. General;0;0;6,5;1
2025-01;BRC - EMX;;Cabotaje;Av. General;2,5;0;1;0
2025-01;BRC - EQS;;Cabotaje;Av. General;7,5;0;14,5;3
2025-01;BRC - EZE;;Cabotaje;Av. General;14,5;0;2,5;1
2025-01;BRC - FDO;;Cabotaje;Av. General;53;104;32,5;7
2025-01;BRC - FTE;;Cabotaje;Av. General;5,5;0;1,5;0
2025-01;BRC - GPO;;Cabotaje;Av. General;0;;0,5;0
2025-01;BRC - IGR;;Cabotaje;Av. General;1;;0,5;0
2025-01;BRC - LPG;;Cabotaje;Av. General;2;;0,5;0
2025-01;BRC - MDZ;;Cabotaje;Av. General;5;;2;0
2025-01;BRC - NQN;;Cabotaje;Av. General;10;5;14,5;3
2025-01;BRC - PDP;;Internacional;Av. General;22;0;8;2
2025-01;BRC - PMC;;Internacional;Av. General;11;0;5;1
2025-01;BRC - PRA;;Cabotaje;Av. General;0;;0,5;0
2025-01;BRC - REL;;Cabotaje;Av. General;3;0;2;0
