AñoMes;CityPair_IATA;Aerolinea Nombre;Av. General;Comercial;TotalPasajeros
2025-01;AEP - AFA;Aerolíneas Argentinas;;5035;5035
2025-01;AEP - AGT;Aerolíneas Argentinas;;118;118
2025-01;AEP - ASU;Aerolíneas Argentinas;;7546;7546
2025-01;AEP - ASU;Amaszonas;;1382;1382
2025-01;AEP - ASU;Fuerza Aérea Paraguaya;12;;12
2025-01;AEP - ASU;JetSMART Airlines;;3690;3690
2025-01;AEP - BHI;Aerolíneas Argentinas;;15550;15550
2025-01;AEP - BOG;Aerolíneas Argentinas;;5684;5684
2025-01;AEP - BOG;Avianca;;3666;3666
2025-01;AEP - BPS;Aerolíneas Argentinas;;2709;2709
2025-01;AEP - BRC;Aerolíneas Argentinas;;83179;83179
2025-01;AEP - BRC;Andes Líneas Aéreas;;93;93
2025-01;AEP - BRC;Flybondi;;13076;13076
2025-01;AEP - BRC;JetSMART Airlines;;36528;36528
2025-01;AEP - BSB;Aerolíneas Argentinas;;1116;1116
2025-01;AEP - CNF;Gol Transportes Aéreos;;171;171
2025-01;AEP - CNQ;Aerolíneas Argentinas;;5819;5819
2025-01;AEP - CNQ;Flybondi;;11969;11969
2025-01;AEP - COR;Aerolíneas Argentinas;;54769;54769
2025-01;AEP - COR;American Jet;;50;50
2025-01;AEP - COR;Flybondi;;22542;22542
2025-01;AEP - COR;JetSMART Airlines;;26812;26812
2025-01;AEP - CPC;Aerolíneas Argentinas;;19667;19667
2025-01;AEP - CPC;JetSMART Airlines;;13520;13520
2025-01;AEP - CRD;Aerolíneas Argentinas;;24490;24490
2025-01;AEP - CRD;Flybondi;;5379;5379
2025-01;AEP - CRD;JetSMART Airlines;;4791;4791
2025-01;AEP - CTC;Aerolíneas Argentinas;;4704;4704
2025-01;AEP - CWB;Aerolíneas Argentinas;;5159;5159
2025-01;AEP - EQS;Aerolíneas Argentinas;;8276;8276
2025-01;AEP - EZE;Aerolíneas Argentinas;;40;40
2025-01;AEP - FDO;American Jet;;19;19
2025-01;AEP - FLN;Aerolíneas Argentinas;;25573;25573
2025-01;AEP - FLN;Flybondi;;11070;11070
2025-01;AEP - FLN;Gol Transportes Aéreos;;9327;9327
2025-01;AEP - FLN;JetSMART Airlines;;13399;13399
2025-01;AEP - FMA;Aerolíneas Argentinas;;5974;5974
2025-01;AEP - FTE;Aerolíneas Argentinas;;39607;39607
2025-01;AEP - FTE;American Jet;;24;24
2025-01;AEP - FTE;Flybondi;;2908;2908
2025-01;AEP - FTE;JetSMART Airlines;;2693;2693
2025-01;AEP - GIG;Aerolíneas Argentinas;;45350;45350
2025-01;AEP - GIG;Flybondi;;8597;8597
2025-01;AEP - GIG;Gol Transportes Aéreos;;167;167
2025-01;AEP - GIG;JetSMART Airlines;;8936;8936
2025-01;AEP - GRU;Aerolíneas Argentinas;;27118;27118
2025-01;AEP - GRU;Flybondi;;7425;7425
2025-01;AEP - GRU;Gol Transportes Aéreos;;36191;36191
2025-01;AEP - GRU;TAM Linhas Aéreas;;43430;43430
2025-01;AEP - IGR;Aerolíneas Argentinas;;47735;47735
2025-01;AEP - IGR;Flybondi;;17480;17480
2025-01;AEP - IGR;JetSMART Airlines;;28606;28606
2025-01;AEP - IRJ;Aerolíneas Argentinas;;4384;4384
2025-01;AEP - JUJ;Aerolíneas Argentinas;;16118;16118
2025-01;AEP - JUJ;Flybondi;;8656;8656
2025-01;AEP - LIM;Aerolíneas Argentinas;;7832;7832
2025-01;AEP - LIM;JetSMART Airlines;;9573;9573
2025-01;AEP - LIM;LATAM Perú;;18374;18374
2025-01;AEP - LIM;Sky Airline;;3500;3500
2025-01;AEP - LUQ;Aerolíneas Argentinas;;4494;4494
2025-01;AEP - MDQ;Aerolíneas Argentinas;;30628;30628
2025-01;AEP - MDQ;JetSMART Airlines;;169;169
2025-01;AEP - MDQ;LADE - Líneas Aéreas Del Estado;45;;45
2025-01;AEP - MDZ;Aerolíneas Argentinas;;42335;42335
2025-01;AEP - MDZ;Flybondi;;29048;29048
2025-01;AEP - MDZ;JetSMART Airlines;;29974;29974
2025-01;AEP - MVD;Aerolíneas Argentinas;;11912;11912
2025-01;AEP - NAT;Gol Transportes Aéreos;;1291;1291
2025-01;AEP - NQN;Aerolíneas Argentinas;;32175;32175
2025-01;AEP - NQN;Flybondi;;12142;12142
2025-01;AEP - NQN;JetSMART Airlines;;22112;22112
2025-01;AEP - PDP;Aerolíneas Argentinas;;22290;22290
2025-01;AEP - PMQ;American Jet;;40;40
2025-01;AEP - PMY;Aerolíneas Argentinas;;6096;6096
2025-01;AEP - PMY;Flybondi;;6175;6175
2025-01;AEP - PMY;JetSMART Airlines;;68;68
2025-01;AEP - POA;American Jet;;45;45
2025-01;AEP - PRA;Aerolíneas Argentinas;;3264;3264
2025-01;AEP - PRA;Flybondi;;71;71
2025-01;AEP - PSS;Aerolíneas Argentinas;;11420;11420
2025-01;AEP - PSS;Flybondi;;13434;13434
2025-01;AEP - RCU;Aerolíneas Argentinas;;438;438
2025-01;AEP - REC;Gol Transportes Aéreos;;838;838
2025-01;AEP - REL;Aerolíneas Argentinas;;18318;18318
2025-01;AEP - REL;Flybondi;;43;43
2025-01;AEP - RES;Aerolíneas Argentinas;;10466;10466
2025-01;AEP - RGA;Aerolíneas Argentinas;;13250;13250
2025-01;AEP - RGA;Flybondi;;95;95
2025-01;AEP - RGL;Aerolíneas Argentinas;;11165;11165
2025-01;AEP - RHD;Aerolíneas Argentinas;;1313;1313
2025-01;AEP - RLO;Aerolíneas Argentinas;;790;790
2025-01;AEP - ROS;Aerolíneas Argentinas;;11300;11300
2025-01;AEP - ROS;American Jet;;46;46
2025-01;AEP - RSA;Aerolíneas Argentinas;;3166;3166
2025-01;AEP - SCL;Aerolíneas Argentinas;;18964;18964
2025-01;AEP - SCL;JetSMART Airlines;;21018;21018
2025-01;AEP - SCL;LATAM;;36278;36278
2025-01;AEP - SCL;LATAM Perú;;491;491
2025-01;AEP - SCL;Sky Airline;;19738;19738
2025-01;AEP - SDE;Aerolíneas Argentinas;;7261;7261
2025-01;AEP - SDE;Flybondi;;8245;8245
2025-01;AEP - SDE;JetSMART Airlines;;79;79
2025-01;AEP - SFN;Aerolíneas Argentinas;;4566;4566
2025-01;AEP - SLA;Aerolíneas Argentinas;;38588;38588
2025-01;AEP - SLA;Flybondi;;6790;6790
2025-01;AEP - SLA;JetSMART Airlines;;16806;16806
2025-01;AEP - SSA;Aerolíneas Argentinas;;12183;12183
2025-01;AEP - SSA;Gol Transportes Aéreos;;1465;1465
2025-01;AEP - TDL;Fuerza Aérea Argentina;10;;10
2025-01;AEP - TUC;Aerolíneas Argentinas;;26429;26429
2025-01;AEP - TUC;Flybondi;;13240;13240
2025-01;AEP - TUC;JetSMART Airlines;;9274;9274
2025-01;AEP - UAQ;Aerolíneas Argentinas;;9992;9992
2025-01;AEP - UAQ;Flybondi;;5033;5033
2025-01;AEP - USH;Aerolíneas Argentinas;;42742;42742
2025-01;AEP - USH;Flybondi;;2080;2080
2025-01;AEP - USH;Fuerza Aérea Argentina;10;;10
2025-01;AEP - USH;JetSMART Airlines;;4806;4806
2025-01;AEP - VDM;Aerolíneas Argentinas;;3066;3066
2025-01;AEP - VDM;Flybondi;;81;81
2025-01;AEP - VVI;Aerolíneas Argentinas;;3142;3142
2025-01;AMS - EZE;Air Canada;;289;289
2025-01;AMS - EZE;KLM;;14089;14089
2025-01;AQP - TUC;Sirio;12;;12
2025-01;ASU - COR;Amaszonas;;628;628
2025-01;ASU - EZE;Amaszonas;;69;69
2025-01;ASU - EZE;Flybondi;;180;180
2025-01;ASU - EZE;LATAM Cargo Uruguay;;147;147
2025-01;ASU - JUJ;Amaszonas;;363;363
2025-01;ATL - EZE;Delta Air Lines;;21288;21288
2025-01;BCN - EZE;Iberia Airlines;;18235;18235
2025-01;BHI - BRC;LADE - Líneas Aéreas Del Estado;78;82;160
2025-01;BHI - BRC;Sky Airline;37;;37
2025-01;BHI - MDQ;Aerolíneas Argentinas;;48;48
2025-01;BHI - MDQ;LADE - Líneas Aéreas Del Estado;63;69;132
2025-01;BOG - EZE;Avianca;;27043;27043
2025-01;BOG - EZE;Gol Transportes Aéreos;;8696;8696
2025-01;BPS - COR;Andes Líneas Aéreas;;703;703
2025-01;BPS - EZE;Aerolíneas Argentinas;;484;484
2025-01;BPS - EZE;Gol Transportes Aéreos;;2345;2345
2025-01;BPS - IGR;Andes Líneas Aéreas;;165;165
2025-01;BRC - CCP;Andes Líneas Aéreas;;738;738
2025-01;BRC - COR;Aerolíneas Argentinas;;5220;5220
2025-01;BRC - COR;Andes Líneas Aéreas;;5760;5760
2025-01;BRC - COR;Flybondi;;10387;10387
2025-01;BRC - EZE;Aerolíneas Argentinas;;14706;14706
