A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2022;ABJ - FDO;;No Regular Internacional;15;;1
2025;ADW - AEP;;Av. Gral Internacional;28;0;3
2022;AEP - AEP;;Av. Gral Cabotaje;33;0;27
2023;AEP - AEP;;Av. Gral Cabotaje;1,5;0;16
2024;AEP - AEP;;Av. Gral Cabotaje;10,5;0;48,5
2025;AEP - AEP;;Av. Gral Cabotaje;15,5;117;43,5
2022;AEP - AEP;;No Regular Cabotaje;0;0;3,5
2023;AEP - AEP;;No Regular Cabotaje;3,5;0;3,5
2024;AEP - AEP;;No Regular Cabotaje;1;0;6,5
2025;AEP - AEP;;No Regular Cabotaje;11,5;95;8,5
2024;AEP - AEP;;Regular Cabotaje;2;0;0,5
2025;AEP - AEP;;Regular Cabotaje;2,5;0;1,5
2022;AEP - AFA;;Av. Gral Cabotaje;10,5;0;2,5
2023;AEP - AFA;;Av. Gral Cabotaje;12,5;0;2,5
2024;AEP - AFA;;Av. Gral Cabotaje;4,5;0;2
2025;AEP - AFA;;Av. Gral Cabotaje;26,5;0;15
2022;AEP - AFA;;No Regular Cabotaje;6,5;0;1,5
2024;AEP - AFA;;No Regular Cabotaje;7;0;2
2025;AEP - AFA;;No Regular Cabotaje;46;48;4
2022;AEP - AFA;;Regular Cabotaje;1415,5;1680;17,5
2023;AEP - AFA;;Regular Cabotaje;75;96;1
2025;AEP - AFA;;Regular Cabotaje;88,5;96;1
2024;AEP - AGP;;No Regular Internacional;5;0;1
2025;AEP - AGT;;No Regular Internacional;2;0;2
2022;AEP - ANF;;Av. Gral Internacional;5;0;1
2022;AEP - APA;;No Regular Internacional;7;0;1
2023;AEP - APA;;No Regular Internacional;7;0;1
2024;AEP - APZ;;Av. Gral Cabotaje;12,5;0;0,5
2022;AEP - ARI;;Av. Gral Internacional;27;0;3
2022;AEP - ARI;;No Regular Internacional;1;0;3
2023;AEP - ARI;;No Regular Internacional;3;0;3
2024;AEP - ARI;;No Regular Internacional;4;0;3
2022;AEP - ASU;;Av. Gral Internacional;107;282;12
2023;AEP - ASU;;Av. Gral Internacional;34;186;7
2024;AEP - ASU;;Av. Gral Internacional;46;257;8
2025;AEP - ASU;;Av. Gral Internacional;19;141;8
2022;AEP - ASU;;No Regular Internacional;14;0;8
2023;AEP - ASU;;No Regular Internacional;23;186;7
2024;AEP - ASU;;No Regular Internacional;187;189;11
2025;AEP - ASU;;No Regular Internacional;31;0;12
2024;AEP - AUS;;No Regular Internacional;5;0;1
2022;AEP - AYO;;Av. Gral Internacional;1;;1
2022;AEP - BAQ;;No Regular Internacional;7;;1
2022;AEP - BCN;;Av. Gral Internacional;0;0;1
2022;AEP - BCN;;No Regular Internacional;4;0;1
2024;AEP - BGI;;Av. Gral Internacional;1;0;1
2022;AEP - BHI;;Av. Gral Cabotaje;495;1089;50,5
2023;AEP - BHI;;Av. Gral Cabotaje;340;553;63
2024;AEP - BHI;;Av. Gral Cabotaje;301;396;45,5
2025;AEP - BHI;;Av. Gral Cabotaje;206;496;55,5
2022;AEP - BHI;;No Regular Cabotaje;181,5;259;11
2023;AEP - BHI;;No Regular Cabotaje;108,5;184;10
2024;AEP - BHI;;No Regular Cabotaje;68,5;614;8,5
2025;AEP - BHI;;No Regular Cabotaje;32,5;103;12,5
2022;AEP - BHI;;Regular Cabotaje;0;0;0,5
2023;AEP - BHI;;Regular Cabotaje;7,5;33;0,5
2022;AEP - BOG;;Av. Gral Internacional;34;0;1
2024;AEP - BOI;;Av. Gral Internacional;8;;1
2022;AEP - BRC;;Av. Gral Cabotaje;151;556;46,5
2023;AEP - BRC;;Av. Gral Cabotaje;261,5;675;39,5
2024;AEP - BRC;;Av. Gral Cabotaje;370;484;31
2025;AEP - BRC;;Av. Gral Cabotaje;219;503;28,5
2022;AEP - BRC;;No Regular Cabotaje;78,5;528;29,5
2023;AEP - BRC;;No Regular Cabotaje;73,5;191;18,5
2024;AEP - BRC;;No Regular Cabotaje;28;284;9
2025;AEP - BRC;;No Regular Cabotaje;114,5;509;24
2022;AEP - BRC;;Regular Cabotaje;189;189;1
2023;AEP - BRC;;Regular Cabotaje;170;180;1
2025;AEP - BRC;;Regular Cabotaje;166,5;170;1
2022;AEP - BSB;;Av. Gral Internacional;7;0;3
2023;AEP - BSB;;Av. Gral Internacional;146;542;16
2025;AEP - BSB;;Av. Gral Internacional;3;0;1
2023;AEP - BSB;;No Regular Internacional;2;0;2
2025;AEP - BSB;;No Regular Internacional;14;;1
2025;AEP - BSB;;Regular Internacional;5;0;1
2023;AEP - BYC;;Av. Gral Internacional;97;0;3
2023;AEP - CBB;;Av. Gral Internacional;46;282;2
2024;AEP - CDG;;No Regular Internacional;9;;1
2022;AEP - CGH;;No Regular Internacional;4;;1
2024;AEP - CGR;;No Regular Internacional;3;0;1
2025;AEP - CGR;;No Regular Internacional;4;0;1
2022;AEP - CJC;;No Regular Internacional;2;0;1
2025;AEP - CJC;;No Regular Internacional;0;0;1
2022;AEP - CLO;;No Regular Internacional;0;0;1
2022;AEP - CNF;;Av. Gral Internacional;6;0;1
2024;AEP - CNF;;Av. Gral Internacional;4;0;1
2022;AEP - CNF;;No Regular Internacional;20;0;5
2022;AEP - CNQ;;Av. Gral Cabotaje;185;9;59
2023;AEP - CNQ;;Av. Gral Cabotaje;204;378;58
2024;AEP - CNQ;;Av. Gral Cabotaje;99,5;0;29,5
2025;AEP - CNQ;;Av. Gral Cabotaje;168,5;131;40,5
2022;AEP - CNQ;;No Regular Cabotaje;157,5;95;26,5
2023;AEP - CNQ;;No Regular Cabotaje;184;100;26,5
2024;AEP - CNQ;;No Regular Cabotaje;26,5;0;12
2025;AEP - CNQ;;No Regular Cabotaje;61;0;17
2022;AEP - CNQ;;Regular Cabotaje;1098;1221;7
2023;AEP - CNQ;;Regular Cabotaje;648,5;756;6,5
2022;AEP - COC;;Av. Gral Cabotaje;13,5;189;4,5
2025;AEP - COC;;Av. Gral Cabotaje;5;0;1
2022;AEP - COC;;No Regular Cabotaje;9,5;189;3,5
