mes;mes_nombre;iata;cabotaje;internacional;TotalPasajeros
1;Ene;AEP;8476;3494;11970
2;Feb;AEP;7394;3091;10485
3;Mar;AEP;8921;3351;12272
4;Abr;AEP;8469;3185;11654
5;May;AEP;8051;3308;11359
6;Jun;AEP;7822;3185;11007
7;Jul;AEP;8822;3522;12344
8;Ago;AEP;8464;3499;11963
9;Sep;AEP;8219;3315;11534
10;Oct;AEP;8138;3509;11647
11;Nov;AEP;7933;3354;11287
12;Dic;AEP;8051;3675;11726
1;Ene;TTG;15;0;15
2;Feb;TTG;18;0;18
3;Mar;TTG;13;0;13
4;Abr;TTG;27;0;27
5;May;TTG;16;0;16
6;Jun;TTG;26;0;26
7;Jul;TTG;27;0;27
8;Ago;TTG;27;0;27
9;Sep;TTG;31;0;31
10;Oct;TTG;36;0;36
11;Nov;TTG;33;0;33
12;Dic;TTG;30;0;30
1;Ene;SST;14;0;0
2;Feb;SST;2;0;0
3;Mar;SST;3;0;0
4;Abr;SST;2;0;0
5;May;SST;9;0;0
6;Jun;SST;6;0;0
7;Jul;SST;6;0;0
8;Ago;SST;2;0;0
9;Sep;SST;10;0;0
10;Oct;SST;4;0;0
11;Nov;SST;11;0;0
12;Dic;SST;13;0;0
1;Ene;RYO;0;0;0
2;Feb;RYO;2;0;2
3;Mar;RYO;2;0;2
4;Abr;RYO;5;0;5
5;May;RYO;2;0;2
6;Jun;RYO;1;0;1
7;Jul;RYO;4;0;4
8;Ago;RYO;4;0;4
9;Sep;RYO;3;0;3
10;Oct;RYO;3;0;3
11;Nov;RYO;4;0;4
12;Dic;RYO;5;0;5
1;Ene;PMQ;36;0;36
2;Feb;PMQ;48;0;48
3;Mar;PMQ;53;0;53
4;Abr;PMQ;48;0;48
5;May;PMQ;43;0;43
6;Jun;PMQ;46;0;46
7;Jul;PMQ;47;0;47
8;Ago;PMQ;48;0;48
9;Sep;PMQ;83;0;83
10;Oct;PMQ;77;0;77
11;Nov;PMQ;72;0;72
12;Dic;PMQ;58;0;58
1;Ene;NEC;11;0;11
2;Feb;NEC;5;0;5
3;Mar;NEC;7;0;7
4;Abr;NEC;8;0;8
5;May;NEC;4;0;4
6;Jun;NEC;2;0;2
7;Jul;NEC;6;0;6
8;Ago;NEC;7;0;7
9;Sep;NEC;4;0;4
10;Oct;NEC;4;0;4
11;Nov;NEC;5;0;5
12;Dic;NEC;13;0;13
1;Ene;AFA;69;0;69
2;Feb;AFA;51;0;51
3;Mar;AFA;55;0;55
4;Abr;AFA;32;0;32
5;May;AFA;43;0;43
6;Jun;AFA;42;0;42
7;Jul;AFA;56;0;56
8;Ago;AFA;62;0;62
9;Sep;AFA;61;0;61
10;Oct;AFA;64;0;64
11;Nov;AFA;63;0;63
12;Dic;AFA;64;0;64
1;Ene;AOL;0;0;0
2;Feb;AOL;1;0;0
3;Mar;AOL;1;0;0
4;Abr;AOL;0;0;0
5;May;AOL;1;0;0
6;Jun;AOL;0;0;0
7;Jul;AOL;0;0;0
8;Ago;AOL;1;0;0
9;Sep;AOL;0;0;0
10;Oct;AOL;0;0;0
11;Nov;AOL;1;0;0
12;Dic;AOL;0;0;0
1;Ene;BHI;212;0;212
2;Feb;BHI;181;1;182
3;Mar;BHI;246;0;246
4;Abr;BHI;275;0;275
5;May;BHI;281;0;281
6;Jun;BHI;247;0;247
7;Jul;BHI;253;2;255
8;Ago;BHI;229;0;229
9;Sep;BHI;235;2;237
10;Oct;BHI;253;0;253
11;Nov;BHI;227;0;227
12;Dic;BHI;235;0;235
1;Ene;BRC;1723;98;1821
2;Feb;BRC;1428;64;1492
3;Mar;BRC;1326;58;1384
4;Abr;BRC;999;8;1007
5;May;BRC;860;0;860
6;Jun;BRC;1069;74;1143
7;Jul;BRC;1866;305;2171
8;Ago;BRC;1836;237;2073
9;Sep;BRC;1470;40;1510
10;Oct;BRC;1237;3;1240
11;Nov;BRC;1128;11;1139
12;Dic;BRC;1395;183;1578
1;Ene;CNQ;154;1;155
2;Feb;CNQ;133;1;134
3;Mar;CNQ;186;0;186
4;Abr;CNQ;144;0;144
5;May;CNQ;148;0;148
6;Jun;CNQ;154;0;154
7;Jul;CNQ;167;0;167
8;Ago;CNQ;176;0;176
9;Sep;CNQ;171;1;172
10;Oct;CNQ;152;2;154
11;Nov;CNQ;170;4;174
12;Dic;CNQ;148;0;148
1;Ene;COC;0;0;0
2;Feb;COC;0;0;0
3;Mar;COC;0;0;0
4;Abr;COC;0;0;0
5;May;COC;0;0;0
6;Jun;COC;0;0;0
7;Jul;COC;0;0;0
8;Ago;COC;0;0;0
9;Sep;COC;34;0;6
10;Oct;COC;40;0;0
11;Nov;COC;21;0;0
12;Dic;COC;74;0;22
1;Ene;COR;1613;557;2170
2;Feb;COR;1441;509;1950
3;Mar;COR;1656;507;2163
4;Abr;COR;1453;461;1914
5;May;COR;1491;461;1952
6;Jun;COR;1485;465;1950
7;Jul;COR;1688;571;2259
8;Ago;COR;1595;525;2120
9;Sep;COR;1541;579;2120
10;Oct;COR;1603;641;2244
11;Nov;COR;1596;653;2249
12;Dic;COR;1817;832;2649
1;Ene;CPC;328;4;332
2;Feb;CPC;506;1;507
3;Mar;CPC;310;3;313
4;Abr;CPC;264;0;264
5;May;CPC;161;0;161
6;Jun;CPC;156;0;156
7;Jul;CPC;341;0;341
8;Ago;CPC;346;0;346
9;Sep;CPC;210;0;210
10;Oct;CPC;206;0;206
11;Nov;CPC;239;0;239
12;Dic;CPC;255;1;256
1;Ene;CRD;470;2;472
2;Feb;CRD;411;0;411
3;Mar;CRD;506;2;508
4;Abr;CRD;482;0;482
5;May;CRD;475;0;475
6;Jun;CRD;492;0;492
7;Jul;CRD;544;0;544
8;Ago;CRD;497;0;497
9;Sep;CRD;498;0;498
10;Oct;CRD;542;0;542
11;Nov;CRD;490;0;490
12;Dic;CRD;511;1;512
1;Ene;CTC;81;0;81
2;Feb;CTC;67;0;67
3;Mar;CTC;74;0;74
4;Abr;CTC;121;0;121
5;May;CTC;129;0;129
6;Jun;CTC;114;0;114
7;Jul;CTC;132;0;132
8;Ago;CTC;113;0;113
9;Sep;CTC;131;1;132
10;Oct;CTC;132;0;132
11;Nov;CTC;111;0;111
12;Dic;CTC;120;0;120
1;Ene;EPA;35;0;35
2;Feb;EPA;28;0;28
3;Mar;EPA;29;0;29
4;Abr;EPA;62;0;62
5;May;EPA;73;0;73
6;Jun;EPA;41;0;41
7;Jul;EPA;117;0;117
8;Ago;EPA;80;0;80
9;Sep;EPA;106;0;106
10;Oct;EPA;82;0;82
11;Nov;EPA;47;0;47
12;Dic;EPA;40;0;40
1;Ene;EQS;66;0;66
2;Feb;EQS;79;0;79
3;Mar;EQS;71;0;71
4;Abr;EQS;52;0;52
5;May;EQS;43;0;43
6;Jun;EQS;50;0;50
7;Jul;EQS;90;0;90
8;Ago;EQS;87;0;87
9;Sep;EQS;76;0;76
10;Oct;EQS;123;0;123
