Aerolinea;Archivo;Estado
Aerolíneas Argentinas;Aerolineas_Argentinas.png;listo
JetSMART Airlines;JetSMARTAirlines.webp;listo
Copa Airlines;Copa.jpg;listo
LATAM;LATAM.webp;listo
LATAM Perú;LATAMPeru.webp;alias listo
LATAM Ecuador;LATAMEcuador.webp;alias listo
American Airlines;American_Airlines.jpg;listo
Avianca;Avianca.jpg;listo
Avianca Costa Rica;AviancaCostaRica.jpg;alias listo
Air Europa;AirEuropa.webp;listo
KLM;KLM.jpg;listo
Iberia Airlines;Iberia.webp;listo
Sky Airline;SkyAirline.webp;listo
Gol Transportes Aéreos;GOL.png;listo
Delta Air Lines;;pendiente
United Airlines;;pendiente
Lufthansa;;pendiente
Aeroméxico;;pendiente
Air France;;pendiente
Boliviana de Aviacion;;pendiente
Turkish Airlines;;pendiente
Arajet;;pendiente
British Airways;;pendiente
Ethiopian Airlines;;pendiente
Emirates Airline;;pendiente
Air Canada;;pendiente
Swiss International Air Lines;;pendiente
Azul Linhas Aéreas Brasileiras;;pendiente
Andes Líneas Aéreas;;pendiente
LADE - Líneas Aéreas Del Estado;LADE.png;listo
American Jet;AmericanJet.png;listo
TAM Linhas Aéreas;;pendiente
Amaszonas;;pendiente
ITA Airways;;pendiente
Flybondi;Flybondi.png;listo
